sub	session	condition	category	word	rt	log_rt	ft_distance	ppmi_distance_damage_0	ppmi_distance_damage_10	ppmi_distance_damage_20	ppmi_distance_damage_30	ppmi_distance_damage_40	ppmi_distance_damage_50	ppmi_distance_damage_60	ppmi_distance_damage_70	ppmi_distance_damage_80	ppmi_distance_damage_90	ppmi_distance_damage_99	w_one_frequency	w_one_log10_frequency	w_one_length	w_two_frequency	w_two_log10_frequency	w_two_length	
001	1	1.0	Ader	Vene	1796.5974062813	7.494206277991407	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
002	3	1.5	Ader	Körper	1697.41558890533	7.437451088929901	0.7281412482261658	0.941088653582606	0.9828491085599048	0.9967540758573697	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120220	5.079976723632598	6	1540	3.187520720836463	4	
004	3	0.5	Ader	Vene	1549.99999999999	7.346655163176532	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
005	2	1.0	Ader	Gefaess	3189.86579322938	8.068047567490112	0.7337868064641953	0.9276615451800172	0.9537938106540464	0.9838614727243101	0.9974826306669698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3813	3.5812668052736707	7	1540	3.187520720836463	4	
006	1	1.0	Ader	Vene	1839.10389944243	7.5175773160971024	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
007	2	0.5	Ader	Vene	1305.41126308604	7.175039163087278	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
008	3	1.5	Ader	Vene	2127.20346420118	7.663033458767409	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
009	1	1.5	Ader	Muskel	1923.33333333333	7.562334866392822	0.6601746678352356	0.8937802064827813	0.9620177562845854	0.9937587369441747	0.999003225570661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2294	3.360593413565249	6	1540	3.187520720836463	4	
010	2	1.0	Ader	Vene	1994.96104103323	7.5988809381604945	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
011	3	0.5	Ader	Arterie	3710.0	8.219056661060597	0.721679300069809	0.8459884069074718	0.8459884069074718	0.9967684360296861	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	959	2.9818186071706636	7	1540	3.187520720836463	4	
012	1	1.5	Ader	Vene	1409.31602414658	7.251569088859115	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
013	2	0.5	Ader	Blut	1692.69264522076	7.434666421454371	0.7418458163738251	0.8992989609465292	0.9667452757987949	0.9806622715378429	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80232	4.9043476183041745	4	1540	3.187520720836463	4	
014	3	1.5	Ader	Vene	1612.40260258308	7.386100645606246	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
015	1	1.5	Ader	Vene	1957.17749155667	7.579769468398118	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
016	1	1.0	Ader	Vene	1725.75325101275	7.453998190702361	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
017	3	0.5	Ader	Arterie	2320.84415526854	7.7501170434113344	0.721679300069809	0.8459884069074718	0.8459884069074718	0.9967684360296861	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	959	2.9818186071706636	7	1540	3.187520720836463	4	
018	2	1.0	Ader	Vene	1102.32468464954	7.006083340986058	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
020	3	1.5	Ader	Vene	2632.55843845015	7.876091229089297	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
021	1	1.0	Ader	Vene	2311.3982678994	7.746040476159173	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
022	1	1.5	Ader	Vene	1640.7402646905	7.40351209521674	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
023	2	1.0	Ader	Vene	2816.75324214837	7.943695123737574	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
024	3	0.5	Ader	Vene	1664.35498311334	7.417793582761075	0.6639767587184906	0.8776946438925656	0.9215913197598011	0.9711855342900733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1094	3.039017321997412	4	1540	3.187520720836463	4	
103	2	0.5	Ader	Arterie	2363.35064842967	7.76825869596536	0.721679300069809	0.8459884069074718	0.8459884069074718	0.9967684360296861	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	959	2.9818186071706636	7	1540	3.187520720836463	4	
001	3	0.5	Adler	Geier	3369.33765324303	8.122768212168001	0.597025454044342	0.814087691924743	0.8230024159353196	0.8631810157078057	0.9387533280721756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2824	3.450864692379766	5	8554	3.932169245920792	5	
002	2	1.0	Adler	Vogel	1428.20779888486	7.264875582952768	0.48422712087631226	0.7592533148917806	0.8021428997955884	0.8062045829166085	0.8808363104367809	1.0	0.0	0.0	0.0	0.0	0.0	0.0	23201	4.365506704077209	5	8554	3.932169245920792	5	
003	1	1.5	Adler	Vogel	1848.54978681157	7.522697529975658	0.48422712087631226	0.7592533148917806	0.8021428997955884	0.8062045829166085	0.8808363104367809	1.0	0.0	0.0	0.0	0.0	0.0	0.0	23201	4.365506704077209	5	8554	3.932169245920792	5	
004	2	1.5	Adler	Vogel	1244.01299518664	7.126901246745249	0.48422712087631226	0.7592533148917806	0.8021428997955884	0.8062045829166085	0.8808363104367809	1.0	0.0	0.0	0.0	0.0	0.0	0.0	23201	4.365506704077209	5	8554	3.932169245920792	5	
005	1	0.5	Adler	Bussard	1867.44156154984	7.5328599728409635	0.6430452167987823	0.8273479239607877	0.8558033676438425	0.9826873524223053	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259	2.413299764081252	7	8554	3.932169245920792	5	
006	3	0.5	Adler	Vogel	1711.58441995904	7.445758865247803	0.48422712087631226	0.7592533148917806	0.8021428997955884	0.8062045829166085	0.8808363104367809	1.0	0.0	0.0	0.0	0.0	0.0	0.0	23201	4.365506704077209	5	8554	3.932169245920792	5	
007	1	1.5	Adler	Geier	1248.7359388712	7.130687559077114	0.597025454044342	0.814087691924743	0.8230024159353196	0.8631810157078057	0.9387533280721756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2824	3.450864692379766	5	8554	3.932169245920792	5	
009	3	1.0	Adler	Taube	2623.11255108101	7.872498042086562	0.8454061299562454	0.8072171246478601	0.8792833443172392	0.9350856287867477	0.907556882586344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5026	3.701222484256557	5	8554	3.932169245920792	5	
010	1	0.5	Adler	Taube	2108.3116894629	7.654116959726214	0.8454061299562454	0.8072171246478601	0.8792833443172392	0.9350856287867477	0.907556882586344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5026	3.701222484256557	5	8554	3.932169245920792	5	
011	2	1.5	Adler	Geier	2301.95238053026	7.741947222459824	0.597025454044342	0.814087691924743	0.8230024159353196	0.8631810157078057	0.9387533280721756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2824	3.450864692379766	5	8554	3.932169245920792	5	
012	3	1.0	Adler	Sperber	1399.87013677744	7.244848848805491	0.6745142638683319	0.8574852165204674	0.9235924501694196	0.9588722637514054	0.9918601104850441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626	2.7965743332104296	7	8554	3.932169245920792	5	
013	1	1.5	Adler	Spatz	1867.44156154984	7.5328599728409635	0.5753182768821716	0.8922012843093992	0.9356477013564635	0.9815636616685799	0.9874860662964279	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1535	3.1861083798132053	5	8554	3.932169245920792	5	
014	2	1.0	Adler	Falke	1532.11255994539	7.3350553007982695	0.4486217498779297	0.8060086513891858	0.8754946387025321	0.9479533211320408	0.9833309028174342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1754	3.244029589030022	5	8554	3.932169245920792	5	
015	3	1.0	Adler	Falke	2270.0	7.7279755421055585	0.4486217498779297	0.8060086513891858	0.8754946387025321	0.9479533211320408	0.9833309028174342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1754	3.244029589030022	5	8554	3.932169245920792	5	
016	3	0.5	Adler	Vogel	1806.04329365044	7.499447249159918	0.48422712087631226	0.7592533148917806	0.8021428997955884	0.8062045829166085	0.8808363104367809	1.0	0.0	0.0	0.0	0.0	0.0	0.0	23201	4.365506704077209	5	8554	3.932169245920792	5	
017	2	1.5	Adler	Falke	1961.90043524124	7.58217847227756	0.4486217498779297	0.8060086513891858	0.8754946387025321	0.9479533211320408	0.9833309028174342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1754	3.244029589030022	5	8554	3.932169245920792	5	
018	1	0.5	Adler	Bussard	1430.0	7.266128779556451	0.6430452167987823	0.8273479239607877	0.8558033676438425	0.9826873524223053	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259	2.413299764081252	7	8554	3.932169245920792	5	
019	1	1.5	Adler	Taube	2793.13852372552	7.935279117587737	0.8454061299562454	0.8072171246478601	0.8792833443172392	0.9350856287867477	0.907556882586344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5026	3.701222484256557	5	8554	3.932169245920792	5	
020	2	1.0	Adler	Moewe	3070.0	8.029758520440822	0.6340557634830475	0.8768941734923109	0.9495362956235288	0.9423817481980326	0.99867444804186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	777	2.8904210188009145	5	8554	3.932169245920792	5	
021	3	0.5	Adler	Habicht	2339.73593000682	7.758220658909902	0.722870409488678	0.8017674398520904	0.8819759880240443	0.8966006570686286	0.9429784148929097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	584	2.7664128471123997	7	8554	3.932169245920792	5	
022	3	1.0	Adler	Spatz	1409.31602414658	7.251569088859115	0.5753182768821716	0.8922012843093992	0.9356477013564635	0.9815636616685799	0.9874860662964279	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1535	3.1861083798132053	5	8554	3.932169245920792	5	
023	1	0.5	Adler	Falke	1810.76623733501	7.5020574701874025	0.4486217498779297	0.8060086513891858	0.8754946387025321	0.9479533211320408	0.9833309028174342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1754	3.244029589030022	5	8554	3.932169245920792	5	
103	1	1.5	Adler	Geier	2131.92640788575	7.665250216181708	0.597025454044342	0.814087691924743	0.8230024159353196	0.8631810157078057	0.9387533280721756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2824	3.450864692379766	5	8554	3.932169245920792	5	
001	1	1.0	Apfel	Birne	1536.83550362996	7.33813118961858	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
002	3	1.5	Apfel	Birne	1026.75758569643	6.93513460662784	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
003	2	0.5	Apfel	Birne	1319.58009413975	7.185826384301229	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
004	3	0.5	Apfel	Birne	1150.0	7.048386408721883	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
005	2	1.0	Apfel	Kiwi	1659.63203942877	7.414953555528816	0.6215453743934631	0.6937562952809037	0.9133232676464621	0.8215123276680873	0.7412869393929958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	610	2.785329835010767	4	7085	3.850339854583479	5	
006	1	1.0	Apfel	Banane	1640.7402646905	7.40351209521674	0.5669535994529724	0.6339996018075074	0.8589691221422129	0.8145457188826987	0.7852409040299415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2709	3.4328090050331683	6	7085	3.850339854583479	5	
007	2	0.5	Apfel	Birne	976.666666666666	6.88516878030934	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
008	3	1.5	Apfel	Birne	1643.33333333333	7.405090312565626	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
009	1	1.5	Apfel	Birne	1710.0	7.444833273892193	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
010	2	1.0	Apfel	Birne	2190.0	7.692113339595466	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
011	3	0.5	Apfel	Kirsche	1687.96970153619	7.431873977947189	0.5605172216892242	0.695491729945776	0.8299730671484264	0.8079536046599112	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	928	2.967547976218862	7	7085	3.850339854583479	5	
012	1	1.5	Apfel	Birne	1016.66666666666	6.925267704066761	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
013	2	0.5	Apfel	Orange	2470.0	7.81237820598861	0.6535078585147858	0.7688211353987873	0.8942594760206818	0.900862519261044	0.961070759511133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6907	3.839289456006147	6	7085	3.850339854583479	5	
014	3	1.5	Apfel	Birne	1336.66666666666	7.198682081598802	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
015	1	1.5	Apfel	Apfelsine	1432.93074256943	7.2681747233192056	0.5019878149032593	0.7554251944042263	0.9346791908480776	0.9138582633543819	0.918383888545219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178	2.250420002308894	9	7085	3.850339854583479	5	
016	1	1.0	Apfel	Banane	1309.99999999999	7.178545483763692	0.5669535994529724	0.6339996018075074	0.8589691221422129	0.8145457188826987	0.7852409040299415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2709	3.4328090050331683	6	7085	3.850339854583479	5	
017	3	0.5	Apfel	Birne	2336.66666666666	7.756908559868798	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
018	2	1.0	Apfel	Birne	1176.66666666666	7.071290358691029	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
019	2	0.5	Apfel	Birne	1696.66666666666	7.43701003821649	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
020	3	1.5	Apfel	Birne	1857.9956741807	7.527791660758381	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
021	1	1.0	Apfel	Kiwi	2353.90476106053	7.764255564469495	0.6215453743934631	0.6937562952809037	0.9133232676464621	0.8215123276680873	0.7412869393929958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	610	2.785329835010767	4	7085	3.850339854583479	5	
022	1	1.5	Apfel	Birne	1900.50216734183	7.550399467174044	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
023	2	1.0	Apfel	Erdbeere	3723.55842958576	8.222703581393871	0.48977935314178467	0.7135166907466302	0.9032870442121617	0.8715852605930924	0.7648850461617209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	687	2.8369567370595505	8	7085	3.850339854583479	5	
024	3	0.5	Apfel	Birne	1536.83550362996	7.33813118961858	0.5061915814876556	0.6482044584859901	0.8423543237124658	0.8342260378142439	0.7208606909483763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2644	3.4222614508136027	5	7085	3.850339854583479	5	
