word_one	word_two	surprisal_w_two	entropy_w_one
Kirsche	 Birne	27.43585205078125	na
Schläger	 Wolf	7.681996822357178	na
Floete	 Harfe	23.06281852722168	na
Hammer	 Säge	20.495386123657227	na
Pilz	 Burg	11.452503204345703	na
Tasse	 Loeffel	20.741722106933594	na
Hütte	 Hütte	27.03731918334961	na
Fahrrad	 Mühle	27.867624282836914	na
Computer	 Hütte	27.352115631103516	na
Burg	 Hütte	26.95077896118164	na
Kiwi	 Birne	21.661283493041992	na
Schüßel	 Schuessel	23.49338150024414	na
Sieb	 Taße	38.849308013916016	na
Katze	 Lampe	3.889483690261841	na
Bohne	 Bohne	28.182090759277344	na
Sessel	 Hirsch	23.539487838745117	na
Burg	 Burg	11.005566596984863	na
Orgel	 Gitarre	24.11091423034668	na
Klavier	 Trommel	29.239486694335938	na
Seil	 Seil	29.953369140625	na
Kartoffel	 Schläger	30.056182861328125	na
Topf	 Topf	25.70562744140625	na
Bein	 Ohr	5.897489547729492	na
Tuba	 Geige	26.430612564086914	na
Wolf	 Kirche	10.060209274291992	na
Topf	 Ananas	22.215177536010742	na
Hocker	 Sofa	5.917996406555176	na
Trommel	 Drucker	23.68221664428711	na
Bein	 Bein	5.7214131355285645	na
Hammer	 Hammer	4.941049575805664	na
Knie	 Robbe	21.510852813720703	na
Schueßel	 Hantel	33.303565979003906	na
Fabrik	 Kirche	7.107536792755127	na
Ziege	 Stift	8.21744155883789	na
Messer	 Schuessel	28.528823852539062	na
Mund	 Lineal	23.791542053222656	na
Bauch	 Bauch	3.6520614624023438	na
Boot	 Karotte	26.262678146362305	na
Gurke	 Erbse	48.02714538574219	na
Gitarre	 Fuss	19.479049682617188	na
Radierer	 Loeffel	28.208431243896484	na
Lineal	 Lineal	25.981502532958984	na
Säge	 Saege	33.93172073364258	na
Bohne	 Paprika	29.654268264770508	na
Gurke	 Flöte	42.50926208496094	na
Nase	 Bein	6.803677558898926	na
Traktor	 Traktor	19.102581024169922	na
Fernseher	 Tomate	22.456802368164062	na
Schüssel	 Schüssel	37.454471588134766	na
Messer	 Schüßel	44.87055206298828	na
Regal	 Schwein	29.603103637695312	na
Kaninchen	 Topf	23.336143493652344	na
Klavier	 Ball	14.549750328063965	na
Pilz	 Bohne	25.60991096496582	na
Fernseher	 Drucker	24.48920249938965	na
Löffel	 Teller	29.913074493408203	na
Karotte	 Zwiebel	40.66271209716797	na
Burg	 Kegel	23.043439865112305	na
Schwein	 Katze	6.375636577606201	na
Schule	 Schule	4.055866718292236	na
Hose	 Hose	4.193950176239014	na
Schrank	 Schrank	27.79564666748047	na
Schlaeger	 Schlaeger	32.56032180786133	na
Trampolin	 Trampolin	28.604759216308594	na
Trompete	 Trompete	52.921016693115234	na
Trommel	 Flöte	39.60044479370117	na
Traube	 Traube	31.95294761657715	na
Ball	 Hantel	27.349849700927734	na
Gabel	 Topf	22.44320297241211	na
Auge	 Auge	5.170958042144775	na
Ball	 Ball	6.82058572769165	na
