word_one	word_two	surprisal_w_two	entropy_w_one
Schraubenschlüssel	 Pfanne	35.04104995727539	na
Pferd	 Rechen	25.09063720703125	na
Alligator	 Schraubenschlüßel	98.24031829833984	na
Stift	 Giraffe	30.783315658569336	na
Meissel	 Delfin	25.40067481994629	na
Kamel	 Schwein	28.61813735961914	na
Gabel	 Eichhoernchen	49.219078063964844	na
Gepard	 Saege	19.66486930847168	na
Adler	 Beil	29.62333106994629	na
Meissel	 Pferd	7.831727981567383	na
Schraubenschlüssel	 Katze	4.457464694976807	na
Ziege	 Taube	26.26646614074707	na
Kelle	 Kamel	29.983903884887695	na
Ziege	 Beil	27.72970962524414	na
Fuchs	 Giraffe	33.017337799072266	na
Taube	 Baer	24.811071395874023	na
Kamm	 Bär	24.252376556396484	na
Pferd	 Beil	26.09425163269043	na
Löffel	 Fuchs	27.194414138793945	na
Gepard	 Schraubenschlüßel	95.00888061523438	na
Stift	 Meißel	52.037349700927734	na
Meßer	 Kamel	26.562259674072266	na
Elefant	 Meissel	27.46076202392578	na
Bohrer	 Kamel	26.92745590209961	na
Baer	 Säge	18.328706741333008	na
Kelle	 Schraubenschlüssel	32.15544891357422	na
Adler	 Eichhörnchen	39.46791076660156	na
Meißel	 Schaufel	21.24121856689453	na
Eichhörnchen	 Messer	34.06398391723633	na
Pistole	 Rechen	27.744260787963867	na
Schraubenschluessel	 Schwein	27.752220153808594	na
Schraubenschluessel	 Adler	29.365798950195312	na
Ente	 Eichhörnchen	42.1262321472168	na
Schaf	 Pinzette	28.414880752563477	na
Alligator	 Säge	21.762161254882812	na
Axt	 Stift	7.750504016876221	na
Löffel	 Spatel	21.345048904418945	na
Loeffel	 Bleistift	18.22621726989746	na
Löffel	 Kaninchen	22.753225326538086	na
Katze	 Fuchs	28.53859519958496	na
Schere	 Meissel	31.945640563964844	na
Gepard	 Ente	21.8215274810791	na
Kelle	 Delfin	18.73516082763672	na
Schere	 Gepard	28.138668060302734	na
Ziege	 Besen	26.62986183166504	na
Schraubenschlüßel	 Bohrer	35.94681167602539	na
Stier	 Kuh	10.747406959533691	na
Tiger	 Löffel	24.815038681030273	na
Rechen	 Baer	20.00251007080078	na
Saege	 Kelle	28.21656036376953	na
Hammer	 Kelle	29.672748565673828	na
Schaufel	 Zange	32.59590148925781	na
Pferd	 Kamel	27.034835815429688	na
Kamel	 Pferd	8.644071578979492	na
Schere	 Hammer	7.456897735595703	na
Pistole	 Taube	23.255826950073242	na
Loewe	 Baer	24.02973747253418	na
Schraubenschlüssel	 Adler	29.685901641845703	na
Hammer	 Katze	6.372675895690918	na
Pinzette	 Giraffe	34.99188232421875	na
Axt	 Delfin	21.242229461669922	na
Pferd	 Elefant	23.065839767456055	na
Delfin	 Baer	24.411697387695312	na
Schraubenschlüssel	 Löffel	30.13729476928711	na
Säge	 Kuh	11.523579597473145	na
Schraubenschlüßel	 Pinzette	27.199438095092773	na
Schraubenschlüßel	 Eichhörnchen	44.6137809753418	na
Säge	 Messer	28.874893188476562	na
Spatel	 Kelle	26.243532180786133	na
Taube	 Kuh	7.590112686157227	na
Hammer	 Rechen	29.89259147644043	na
Rechen	 Tiger	9.990020751953125	na
Loeffel	 Eichhoernchen	50.4511604309082	na
Ziege	 Hammer	8.023530006408691	na
Besen	 Adler	25.583093643188477	na
Spatel	 Eichhörnchen	38.62815856933594	na
Axt	 Elefant	21.769899368286133	na
Stift	 Meßer	38.7835578918457	na
Pistole	 Alligator	24.01527976989746	na
Meßer	 Säge	20.969202041625977	na
Löffel	 Schraubenschlueßel	95.15901947021484	na
Hammer	 Zange	26.6973876953125	na
Schraubenschlueßel	 Meißel	45.49043655395508	na
Bohrer	 Hund	8.54621410369873	na
Meißel	 Bohrer	32.41196823120117	na
Wolf	 Kamel	27.876375198364258	na
Säge	 Hammer	6.548570156097412	na
Fuchs	 Kamel	26.448753356933594	na
Kamm	 Fuchs	27.415813446044922	na
Schaf	 Eichhoernchen	49.673988342285156	na
Schere	 Gabel	23.623605728149414	na
Kamel	 Fuchs	28.803396224975586	na
Fuchs	 Meßer	37.02524948120117	na
Bohrer	 Pinzette	28.14834213256836	na
Loeffel	 Giraffe	30.939720153808594	na
Säge	 Ente	30.881322860717773	na
Adler	 Kamm	25.912656784057617	na
Pinzette	 Stier	23.341032028198242	na
Schraubenschlüßel	 Adler	29.72084617614746	na
Messer	 Fuchs	29.442928314208984	na
Rechen	 Loewe	32.062469482421875	na
Schraubenschlueßel	 Katze	4.741010665893555	na
Säge	 Kaninchen	22.186946868896484	na
Schraubenschlueßel	 Stift	8.874143600463867	na
Elefant	 Meißel	46.13932800292969	na
Messer	 Pfanne	35.82106399536133	na
Rechen	 Bleistift	18.588987350463867	na
Taube	 Beil	29.747173309326172	na
Adler	 Kaninchen	20.715625762939453	na
Hammer	 Loeffel	25.571495056152344	na
Saege	 Adler	28.283287048339844	na
Besen	 Meißel	48.092010498046875	na
Pferd	 Schwein	25.62712860107422	na
Eichhörnchen	 Hammer	9.338038444519043	na
Löffel	 Bleistift	18.921920776367188	na
Wolf	 Besen	22.629018783569336	na
Alligator	 Zange	29.92232894897461	na
Zange	 Hammer	7.384930610656738	na
Schraubenschluessel	 Stift	7.669253349304199	na
Stier	 Wolf	10.74113655090332	na
Meißel	 Elefant	22.34244155883789	na
Stier	 Spatel	21.4066162109375	na
Spatel	 Besen	23.905181884765625	na
Eichhörnchen	 Axt	23.492231369018555	na
Schwein	 Wolf	9.37961196899414	na
Meißel	 Schraubenschlüßel	94.7739486694336	na
Ziege	 Löffel	27.444005966186523	na
Gabel	 Bär	25.979074478149414	na
Stier	 Schraubenschluessel	66.29576110839844	na
Meißel	 Ente	25.005157470703125	na
Meßer	 Schere	24.871074676513672	na
Messer	 Pistole	28.774311065673828	na
Adler	 Schraubenschlüssel	35.57656478881836	na
Hund	 Eichhoernchen	47.055782318115234	na
Rechen	 Kamm	21.20164680480957	na
Hund	 Ente	22.113018035888672	na
Katze	 Meißel	46.59664535522461	na
Schaf	 Hund	7.300154685974121	na
Meißel	 Alligator	24.198028564453125	na
Schere	 Beil	29.32048797607422	na
Spatel	 Tiger	7.2689642906188965	na
Meissel	 Pistole	27.662961959838867	na
Bleistift	 Gepard	32.5788459777832	na
Tiger	 Schraubenschlueßel	101.74510192871094	na
Besen	 Pferd	8.267239570617676	na
Beil	 Löwe	27.18655776977539	na
Wolf	 Löffel	28.052650451660156	na
Hund	 Schraubenschlüssel	31.65631675720215	na
Pinzette	 Taube	23.158550262451172	na
Wolf	 Meßer	33.97882843017578	na
Kelle	 Schwein	26.727062225341797	na
