word_one	word_two	surprisal_w_two	entropy_w_one
Ziege	 Auge	9.721233367919922	na
Pfeffer	 Kuh	6.57712459564209	na
Tänzerin	 Elefant	27.86334228515625	na
Zeigen	 Schluessel	24.871925354003906	na
Aubergine	 Taenzerin	47.62942123413086	na
Loewe	 Flagge	26.4215030670166	na
Schlüßel	 Kassette	31.745784759521484	na
Frosch	 Taenzerin	43.61980438232422	na
Frosch	 Guerteltier	41.148651123046875	na
Hund	 Finger	7.9767889976501465	na
Affe	 Kopfsalat	17.24021339416504	na
Chili	 Pfeffer	33.26346206665039	na
Eidechse	 Pavian	25.235084533691406	na
Frosch	 Zange	31.175783157348633	na
Kartoffel	 Strauß	30.62038803100586	na
Ohr	 Schlueßel	61.89021682739258	na
Faust	 Strauß	25.88081932067871	na
Affe	 Strauss	19.00554656982422	na
Elefant	 Ananas	27.935373306274414	na
Affe	 Wolf	10.113107681274414	na
Koch	 Kopfsalat	18.807525634765625	na
Hammer	 Auge	9.83222770690918	na
Schluessel	 Kartoffel	29.161182403564453	na
Giraffe	 Pavian	27.949817657470703	na
Eidechse	 Hund	8.611181259155273	na
Flagge	 Tänzerin	39.16176986694336	na
Knoblauch	 Zange	30.720848083496094	na
Schlueßel	 Knoblauch	56.79813003540039	na
Giraffe	 Schluessel	25.37348175048828	na
Hammer	 Affe	20.24207878112793	na
Schluessel	 Kassette	32.50735855102539	na
Arbeiter	 Kaßette	46.39958572387695	na
Auge	 Taenzerin	39.796714782714844	na
Schimpanse	 Faust	8.57101821899414	na
Zeigen	 Haar	9.801215171813965	na
Birne	 Schlüßel	69.41226196289062	na
Zeigen	 Kartoffel	28.69717788696289	na
Koch	 Elefant	22.21314239501953	na
Finger	 Schaf	10.599043846130371	na
Ziege	 Rettich	25.828670501708984	na
Pavian	 Pfeffer	32.2821044921875	na
Pavian	 Eidechse	36.70313262939453	na
Hand	 Zucchini	34.90845489501953	na
Kamel	 Strauss	19.019994735717773	na
Pistole	 Ananas	26.347875595092773	na
Pistole	 Gürteltier	37.686546325683594	na
Faust	 Hand	11.962320327758789	na
Auge	 Zebra	27.15696907043457	na
Knoblauch	 Schlange	24.953481674194336	na
Ohr	 Guerteltier	43.36496353149414	na
Auge	 Zange	31.313791275024414	na
Frosch	 Schluessel	25.81865692138672	na
Hammer	 Kassette	26.874752044677734	na
Schlueßel	 Hammer	9.233040809631348	na
Frosch	 Ananas	25.725318908691406	na
Kaßette	 Loewe	30.24167251586914	na
Loewe	 Koch	8.348936080932617	na
Finger	 Affe	18.7965087890625	na
Schlange	 Schlüßel	69.3131332397461	na
Gürteltier	 Kaßette	45.90310287475586	na
Chili	 Haar	8.300804138183594	na
Schimpanse	 Schlüssel	7.451393127441406	na
Faust	 Löwe	24.669158935546875	na
Guerteltier	 Knoblauch	57.6558837890625	na
Wolf	 Aubergine	43.96403884887695	na
Kaßette	 Schlange	29.248889923095703	na
Ziege	 Banane	31.30546760559082	na
Haar	 Koch	7.815924644470215	na
Ziege	 Hammer	8.023530006408691	na
Finger	 Traube	23.950685501098633	na
Tänzerin	 Kamel	31.151947021484375	na
Hund	 Affe	18.482364654541016	na
Hund	 Flagge	23.95296287536621	na
Kuh	 Regenschirm	42.11444091796875	na
Aubergine	 Pistole	28.818355560302734	na
Schnuller	 Pistole	31.583633422851562	na
Kopfsalat	 Schlüßel	69.00857543945312	na
Hammer	 Zange	26.6973876953125	na
Birne	 Birne	18.27994728088379	na
Wolf	 Kamel	27.876375198364258	na
Tänzerin	 Ananas	22.840242385864258	na
Ziege	 Kaßette	44.01922607421875	na
Pistole	 Flagge	25.633352279663086	na
Schlueßel	 Faust	9.294904708862305	na
Traube	 Pavian	29.17235565185547	na
Schlüssel	 Traube	26.74188995361328	na
Aubergine	 Zeigen	35.56576156616211	na
Koch	 Auge	10.18130111694336	na
Zebra	 Kartoffel	27.4339542388916	na
Frosch	 Kamel	27.31768226623535	na
Telefon	 Schluessel	23.930335998535156	na
Löwe	 Schlüßel	66.42144012451172	na
Kassette	 Schluessel	23.124473571777344	na
Zucchini	 Hund	8.830866813659668	na
Zucchini	 Schlange	25.908687591552734	na
Knoblauch	 Zebra	30.648021697998047	na
Telefon	 Zange	28.806743621826172	na
Hand	 Zeigen	32.157981872558594	na
Tänzerin	 Löwe	25.02170181274414	na
Tänzerin	 Eidechse	41.25666809082031	na
Taenzerin	 Hammer	8.515741348266602	na
Löwe	 Koch	6.850993633270264	na
Ziege	 Schlange	27.60340118408203	na
Zange	 Kartoffel	25.03194808959961	na
Strauß	 Kartoffel	26.37070083618164	na
Tänzerin	 Schlüßel	67.24951934814453	na
Birne	 Haar	12.29637336730957	na
Zange	 Hammer	7.384930610656738	na
Kartoffel	 Auge	11.5669584274292	na
Kaßette	 Ohr	9.187646865844727	na
Zeigen	 Zange	30.31678009033203	na
Haar	 Strauss	18.568721771240234	na
Guerteltier	 Faust	10.693907737731934	na
Arbeiter	 Banane	27.105445861816406	na
