word_one	word_two	surprisal_w_two	entropy_w_one
Bett	 Zug	9.069550514221191	na
Telefon	 Flugzeug	7.238501071929932	na
Hund	 Rock	10.567816734313965	na
Auto	 Glocke	22.270479202270508	na
Messer	 Schreibtisch	18.923368453979492	na
Baer	 Säge	18.328706741333008	na
Schraubenzieher	 Tomate	23.312896728515625	na
Kleid	 Säge	19.36920928955078	na
Kleiderschrank	 Hose	6.983211994171143	na
Hammer	 Auge	9.83222770690918	na
Karotte	 Tomate	21.373685836791992	na
Biene	 Schmetterling	51.99958038330078	na
Schlüßel	 Bogen	26.98367691040039	na
Schreibtisch	 Käfer	30.970958709716797	na
Glas	 Katze	6.5447998046875	na
Mais	 Kommode	26.66780662536621	na
Kleiderschrank	 Zange	32.48358154296875	na
Glas	 Taße	40.25704574584961	na
Glocke	 Säge	18.20203399658203	na
Stuhl	 Pferd	6.986698150634766	na
Kommode	 Löffel	25.587406158447266	na
Säge	 Kleid	8.571306228637695	na
Bein	 Armbanduhr	51.6958122253418	na
Fahrrad	 Bär	24.53012466430664	na
Glocke	 Wohnung	7.815177917480469	na
Flugzeug	 Auge	6.899717807769775	na
Hemd	 Kirche	10.531172752380371	na
Säge	 Messer	28.874893188476562	na
Rock	 Hund	13.132999420166016	na
Taße	 Kopfsalat	18.88275146484375	na
Saege	 Kirche	9.914006233215332	na
Schornstein	 Haus	8.547211647033691	na
Hammer	 Zange	26.6973876953125	na
Glas	 Pferd	8.591574668884277	na
Stuhl	 Bein	8.353737831115723	na
Fliege	 Baer	21.95741081237793	na
Meßer	 Bogen	27.436920166015625	na
Fuss	 Kleiderschrank	29.80908966064453	na
Stuhl	 Sellerie	36.27696228027344	na
Rock	 Karotte	24.876922607421875	na
Tuer	 Tomate	22.275428771972656	na
Hose	 Tisch	7.53900671005249	na
Säge	 Telefon	7.849823474884033	na
Telefon	 Schluessel	23.930335998535156	na
Bär	 Fliege	50.74482345581055	na
Messer	 Rock	10.892478942871094	na
Kopfsalat	 Pferd	10.19617748260498	na
Mantel	 Saege	23.114194869995117	na
Schlueßel	 Hemd	32.98005676269531	na
Mantel	 Wohnung	5.710552215576172	na
Kirche	 Fahrrad	6.825248718261719	na
Hammer	 Tisch	7.433900356292725	na
Auge	 Säge	18.144168853759766	na
Fliege	 Loeffel	22.184846878051758	na
Kopfsalat	 Mantel	25.9392032623291	na
Baer	 Tomate	22.22699546813965	na
Schlüssel	 Hose	7.095843315124512	na
Schlüßel	 Kleid	7.18965482711792	na
Zug	 Messer	28.453500747680664	na
Taße	 Loeffel	28.64154624938965	na
Kaefer	 Saege	28.52617073059082	na
Meßer	 Schraubenzieher	61.12437438964844	na
Fahrrad	 Kuehlschrank	59.45890426635742	na
Katze	 Glocke	23.46657371520996	na
Schlueßel	 Löffel	26.369892120361328	na
Kopfsalat	 Armbanduhr	51.60940170288086	na
Katze	 Tisch	7.267462730407715	na
Stuhl	 Schlüssel	5.484989643096924	na
Käfer	 Tür	8.488987922668457	na
Tasse	 Bett	8.949660301208496	na
Ameise	 Schlüßel	63.77027893066406	na
Löffel	 Schreibtisch	17.583364486694336	na
Kleid	 Bär	23.113882064819336	na
Bär	 Kuehlschrank	47.87870407104492	na
Loeffel	 Hund	8.37497329711914	na
Hammer	 Fuß	4.947607040405273	na
Kommode	 Arm	11.500425338745117	na
Fuss	 Arm	9.686322212219238	na
Iglu	 Baer	24.747390747070312	na
Telefon	 Mantel	24.984533309936523	na
Fuß	 Kuh	5.211279392242432	na
Mais	 Kopfsalat	18.553905487060547	na
Fliege	 Flugzeug	10.329675674438477	na
Kaefer	 Fahrrad	6.577651023864746	na
Biene	 Karotte	24.98645782470703	na
Sellerie	 Lastwagen	21.833316802978516	na
Glas	 Biene	24.161340713500977	na
Auge	 Mantel	26.14292335510254	na
Iglu	 Wohnung	7.3104777336120605	na
Schreibtisch	 Katze	7.119628429412842	na
Baer	 Meissel	32.92338562011719	na
Auto	 Rock	8.741927146911621	na
Löffel	 Mantel	24.75902557373047	na
Saege	 Tomate	18.355348587036133	na
Messer	 Wohnung	6.241264343261719	na
Kuehlschrank	 Stuhl	27.844526290893555	na
Iglu	 Fuss	21.475831985473633	na
Schreibtisch	 Hund	6.939154148101807	na
Schlueßel	 Auto	9.59631061553955	na
Kuh	 Messer	30.170425415039062	na
Rock	 Tomate	26.075899124145508	na
Rock	 Zange	25.83669090270996	na
Tuer	 Mantel	26.3553466796875	na
Meßer	 Tisch	8.643105506896973	na
Katze	 Kleid	6.155179023742676	na
Karotte	 Bett	11.758960723876953	na
Iglu	 Bein	9.79598331451416	na
Hand	 Auge	7.482240200042725	na
Meßer	 Armbanduhr	55.37135696411133	na
Löffel	 Lastwagen	18.92112159729004	na
Kleiderschrank	 Lastwagen	19.3687686920166	na
Meßer	 Sellerie	36.14833068847656	na
Schreibtisch	 Arm	12.37154769897461	na
Tisch	 Kuehlschrank	60.70156478881836	na
Arm	 Fuss	21.050960540771484	na
Rock	 Kleid	6.788744926452637	na
Kaefer	 Schlüssel	9.01922607421875	na
Kleiderschrank	 Flasche	33.96350860595703	na
Säge	 Hemd	31.502334594726562	na
Saege	 Zange	26.80170249938965	na
Tomate	 Zug	12.324626922607422	na
Schlueßel	 Hund	9.22542953491211	na
Bogen	 Sellerie	31.356706619262695	na
Hammer	 Kühlschrank	18.031126022338867	na
Meißel	 Armbanduhr	53.08488082885742	na
Katze	 Löffel	27.753902435302734	na
Glocke	 Käfer	28.18890380859375	na
Katze	 Zug	6.135035514831543	na
Auto	 Taße	39.11248016357422	na
Hammer	 Kuh	7.7435431480407715	na
Zange	 Kirche	9.85702896118164	na
Kommode	 Scheune	33.6190299987793	na
Katze	 Messer	29.660778045654297	na
Armbanduhr	 Telefon	6.7513508796691895	na
Meißel	 Tür	6.956316947937012	na
Loeffel	 Messer	30.582948684692383	na
Haus	 Pferd	9.203059196472168	na
Kleiderschrank	 Kühlschrank	17.802263259887695	na
Telefon	 Fahrrad	6.493560791015625	na
Kleid	 Kaefer	38.92927932739258	na
Tisch	 Kaefer	37.21891403198242	na
Schmetterling	 Lastwagen	18.52130126953125	na
Tomate	 Hand	11.894272804260254	na
Säge	 Bein	6.329957485198975	na
Kuehlschrank	 Hand	17.04049301147461	na
Sellerie	 Katze	5.900874137878418	na
Telefon	 Kuh	9.818958282470703	na
Flugzeug	 Katze	4.264561176300049	na
Schluessel	 Zug	8.122507095336914	na
Flasche	 Hemd	31.01211929321289	na
Fuß	 Tomate	26.350919723510742	na
Pferd	 Fliege	44.85193634033203	na
Bogen	 Fuß	6.238799571990967	na
Tisch	 Löffel	26.025192260742188	na
Kommode	 Käfer	30.758512496948242	na
Kirche	 Fuss	24.995046615600586	na
Kopfsalat	 Auge	12.584943771362305	na
