word_one	word_two	surprisal_w_two	entropy_w_one
Kamin	 Heizung	27.85530662536621	na
Maus	 Kaefer	35.40888595581055	na
Umschlag	 Paket	11.204984664916992	na
Wade	 Finger	10.875840187072754	na
Kissen	 Bettlaken	38.97837829589844	na
Teich	 Meer	8.600379943847656	na
Planet	 Weltall	25.509180068969727	na
Axt	 Säge	17.514650344848633	na
Mango	 Erdbeere	25.616195678710938	na
Jacke	 Pullover	25.48078155517578	na
Guertel	 Knoepfe	49.330440521240234	na
Doktor	 Schwester	9.55798625946045	na
Kette	 Ring	7.954926490783691	na
Mund	 Gesicht	6.133804798126221	na
Jacke	 Jeans	6.507752418518066	na
Kuerbis	 Kartoffel	25.488508224487305	na
Maus	 Tier	8.724268913269043	na
Schaf	 Rind	6.536055564880371	na
Klinik	 Krankenhaus	8.973823547363281	na
Laken	 Matratze	18.99294662475586	na
Messer	 Löffel	25.61827850341797	na
Nonne	 Mönch	30.29201889038086	na
Laken	 Bettdecke	37.59840774536133	na
Schinken	 Fleisch	8.187705039978027	na
Laken	 Kopfkißen	51.04811096191406	na
Zwiebel	 Möhre	36.4794807434082	na
Bohrer	 Vorschlaghammer	21.15052032470703	na
Pfirsich	 Nektarine	38.99593734741211	na
Brot	 Broetchen	37.64384460449219	na
Taube	 Moewe	25.61129379272461	na
Felsen	 Gestein	18.102571487426758	na
Urwald	 Nadelwald	41.19692611694336	na
Stadt	 Dorf	8.277264595031738	na
Weide	 Baum	7.241242408752441	na
Auge	 Zahn	5.718690395355225	na
Eisen	 Nickel	30.82929229736328	na
Meise	 Sperber	31.476451873779297	na
Esche	 Baum	9.433433532714844	na
Karton	 Paeckchen	39.08063507080078	na
Keks	 Gummibärchen	52.09600830078125	na
Aufzug	 Treppe	45.5644416809082	na
Hahn	 Kueken	25.372617721557617	na
Umschlag	 Brief	7.74191427230835	na
Couch	 Sessel	25.201200485229492	na
Löffel	 Messer	29.81842041015625	na
Kleid	 Hemd	33.867637634277344	na
Kraehe	 Taube	22.56373405456543	na
Säge	 Schraubenzieher	63.81000518798828	na
Mond	 Jupiter	10.255577087402344	na
Meise	 Amsel	28.5438175201416	na
Mund	 Ohr	5.815915584564209	na
Guertel	 Schuhe	7.268911838531494	na
Küken	 Lamm	6.8027753829956055	na
Strasse	 Fussgängerweg	64.20270538330078	na
Schrank	 Regal	5.728818416595459	na
Kueche	 Bad	10.155967712402344	na
Geige	 Cello	22.488750457763672	na
Hemd	 Schlips	32.452728271484375	na
Kanal	 Fluß	28.469863891601562	na
Hafer	 Weizen	33.912742614746094	na
Meer	 Fluß	27.062652587890625	na
Strasse	 Fußweg	15.331071853637695	na
Daumen	 Ringfinger	17.852073669433594	na
Tischler	 Schreiner	52.74617385864258	na
Planet	 Sterne	10.337481498718262	na
Kiste	 Box	9.63505744934082	na
Quark	 Käse	27.434799194335938	na
