word_one	word_two	surprisal_w_two	entropy_w_one
Ohr	 Kamel	29.65264320373535	na
Taenzerin	 Aubergine	56.871212005615234	na
Loewe	 Wolf	13.187920570373535	na
Stuhl	 Wolf	12.282387733459473	na
Banane	 Aubergine	60.354000091552734	na
Rettich	 Faust	10.143957138061523	na
Auge	 Rettich	33.5684928894043	na
Eidechse	 Birne	35.83209991455078	na
Kartoffel	 Löwe	14.0012788772583	na
Taenzerin	 Hund	15.970075607299805	na
Koch	 Eidechse	45.60029220581055	na
Finger	 Wolf	11.029052734375	na
Schaf	 Eidechse	49.2814826965332	na
Hund	 Hand	14.580445289611816	na
Arbeiter	 Kartoffel	12.206948280334473	na
Schlüssel	 Auge	12.345483779907227	na
Pavian	 Schimpanse	75.40665435791016	na
Schlüssel	 Traube	30.260847091674805	na
Kuh	 Koch	12.740778923034668	na
Pistole	 Traube	30.76285171508789	na
Banane	 Schnuller	44.478660583496094	na
Zucchini	 Frosch	13.573945045471191	na
Frosch	 Wolf	11.656397819519043	na
Koch	 Strauss	11.279067039489746	na
Chili	 Hammer	13.107666969299316	na
Elefant	 Pistole	9.326521873474121	na
Kopfsalat	 Schimpanse	73.04829406738281	na
Rettich	 Frosch	13.155900955200195	na
Zucchini	 Ziege	39.19966125488281	na
Strauß	 Affe	22.064617156982422	na
Hammer	 Hand	14.937822341918945	na
Telefon	 Schlange	15.823347091674805	na
Gürteltier	 Telefon	12.890274047851562	na
Eidechse	 Koch	12.831087112426758	na
Zebra	 Auge	12.472859382629395	na
Flagge	 Rettich	33.16142272949219	na
Elefant	 Kuh	11.583137512207031	na
Pavian	 Rettich	33.94471740722656	na
Pavian	 Chili	8.404080390930176	na
Zebra	 Koch	14.59668254852295	na
Ananas	 Elefant	40.842742919921875	na
Kaßette	 Elefant	41.893409729003906	na
Pistole	 Affe	20.846593856811523	na
Kopfsalat	 Rettich	35.93177032470703	na
Tänzerin	 Arbeiter	14.254467010498047	na
Arbeiter	 Kopfsalat	20.145729064941406	na
Haar	 Affe	24.443254470825195	na
Knoblauch	 Koch	14.84365177154541	na
Stuhl	 Flagge	10.423973083496094	na
Arbeiter	 Schaf	12.00723934173584	na
Ohr	 Faust	8.219168663024902	na
Kamel	 Schnuller	46.09754943847656	na
Koch	 Tänzerin	27.896316528320312	na
Stuhl	 Schluessel	37.45204162597656	na
Birne	 Schlüssel	12.433627128601074	na
Strauss	 Guerteltier	48.708900451660156	na
Zange	 Stuhl	10.82766342163086	na
Elefant	 Banane	10.307793617248535	na
Frosch	 Strauss	10.970701217651367	na
Kamel	 Schlüssel	12.468123435974121	na
Zeigen	 Stuhl	12.472267150878906	na
Kamel	 Hund	13.206318855285645	na
Hammer	 Aubergine	58.93153381347656	na
Pfeffer	 Regenschirm	21.73767852783203	na
Schimpanse	 Kopfsalat	19.74810218811035	na
Schaf	 Kopfsalat	23.09188461303711	na
Wolf	 Strauß	13.862329483032227	na
Banane	 Hund	10.015210151672363	na
Zange	 Rettich	32.944244384765625	na
Elefant	 Frosch	8.257257461547852	na
Hammer	 Schlüssel	10.988675117492676	na
Ananas	 Zucchini	10.187273025512695	na
Stuhl	 Traube	28.847049713134766	na
Stuhl	 Knoblauch	11.898778915405273	na
Zucchini	 Zange	35.743446350097656	na
Schlüssel	 Strauss	9.34238052368164	na
Zebra	 Pistole	9.83015251159668	na
Kaßette	 Loewe	47.602989196777344	na
Elefant	 Löwe	10.226092338562012	na
Schlueßel	 Faust	9.171624183654785	na
Rettich	 Schlüßel	50.24131393432617	na
Rettich	 Affe	22.556730270385742	na
Zebra	 Kopfsalat	22.2086124420166	na
Ananas	 Hand	15.247693061828613	na
Pavian	 Ziege	35.246089935302734	na
Schlueßel	 Affe	22.217267990112305	na
Zebra	 Guerteltier	50.83643341064453	na
Zucchini	 Birne	41.38262176513672	na
Schlüßel	 Elefant	41.11079406738281	na
Kartoffel	 Koch	14.379246711730957	na
Chili	 Strauss	13.334291458129883	na
Schaf	 Faust	13.248997688293457	na
Schlange	 Gürteltier	66.38513946533203	na
Pavian	 Flagge	8.347798347473145	na
Schlueßel	 Koch	13.066168785095215	na
Kaßette	 Schnuller	45.00769805908203	na
Traube	 Knoblauch	10.362778663635254	na
Eidechse	 Rettich	34.39656448364258	na
Tänzerin	 Schimpanse	69.28816986083984	na
Frosch	 Schaf	8.65011978149414	na
Kartoffel	 Schluessel	39.822044372558594	na
Chili	 Koch	13.410867691040039	na
Ziege	 Schaf	10.195158958435059	na
Kamel	 Schluessel	37.16826629638672	na
Kassette	 Affe	23.561737060546875	na
Schlüßel	 Traube	26.9959716796875	na
Strauss	 Zebra	35.98042297363281	na
Affe	 Hammer	12.457345008850098	na
Pfeffer	 Wolf	12.849687576293945	na
Traube	 Pfeffer	9.268543243408203	na
Loewe	 Schlange	11.19390869140625	na
Aubergine	 Ziege	33.47173309326172	na
Haar	 Kopfsalat	21.03984832763672	na
Strauß	 Schlüßel	51.39853286743164	na
Hammer	 Haar	12.435050964355469	na
Giraffe	 Guerteltier	49.544044494628906	na
Aubergine	 Flagge	9.105483055114746	na
Arbeiter	 Tänzerin	24.977035522460938	na
Kuh	 Hammer	10.225896835327148	na
Banane	 Auge	8.948502540588379	na
Frosch	 Gürteltier	73.05792999267578	na
Kaßette	 Schlüßel	52.778724670410156	na
Kaßette	 Frosch	11.585503578186035	na
Tänzerin	 Kuh	15.869604110717773	na
Telefon	 Arbeiter	10.61082649230957	na
Eidechse	 Schnuller	42.211429595947266	na
Zange	 Strauß	12.77273941040039	na
Faust	 Hund	11.88930892944336	na
Strauß	 Hand	13.524824142456055	na
Schlüssel	 Löwe	11.315277099609375	na
Schnuller	 Schluessel	40.01829528808594	na
Wolf	 Chili	7.32036018371582	na
Regenschirm	 Giraffe	37.687137603759766	na
Flagge	 Schimpanse	69.71571350097656	na
Tänzerin	 Gürteltier	67.70957946777344	na
Zucchini	 Kopfsalat	28.620691299438477	na
Flagge	 Giraffe	33.848167419433594	na
Koch	 Finger	13.459217071533203	na
Zeigen	 Loewe	45.91817092895508	na
Ananas	 Hund	12.207586288452148	na
Telefon	 Ananas	12.34664249420166	na
Chili	 Stuhl	11.477415084838867	na
Schaf	 Zebra	36.434906005859375	na
Koch	 Gürteltier	71.04705810546875	na
Schnuller	 Rettich	36.18075942993164	na
Tänzerin	 Schnuller	40.51942825317383	na
Pfeffer	 Tänzerin	27.98862075805664	na
Kopfsalat	 Chili	9.11524486541748	na
Ananas	 Schnuller	41.59230041503906	na
Haar	 Kamel	29.048580169677734	na
Ananas	 Schlüßel	57.91753005981445	na
Knoblauch	 Kaßette	52.99437713623047	na
Loewe	 Regenschirm	21.203458786010742	na
Kuh	 Zebra	36.55842208862305	na
Kassette	 Regenschirm	23.534618377685547	na
Guerteltier	 Schlüßel	49.23299026489258	na
Wolf	 Haar	13.290573120117188	na
Traube	 Hand	14.553051948547363	na
Schlange	 Strauss	12.082948684692383	na
Rettich	 Telefon	12.057857513427734	na
Knoblauch	 Schluessel	40.5046272277832	na
Schlueßel	 Wolf	12.21113109588623	na
Zebra	 Affe	22.712472915649414	na
Schnuller	 Eidechse	49.164852142333984	na
Kopfsalat	 Schnuller	42.501380920410156	na
Schimpanse	 Kaßette	54.15877151489258	na
Hund	 Knoblauch	8.565784454345703	na
Finger	 Kaßette	54.45344543457031	na
Ananas	 Loewe	41.63545227050781	na
Loewe	 Elefant	42.18019485473633	na
Schaf	 Arbeiter	10.956381797790527	na
Wolf	 Arbeiter	11.317007064819336	na
Loewe	 Rettich	35.42082977294922	na
Eidechse	 Gürteltier	69.05804443359375	na
Tänzerin	 Eidechse	45.54001235961914	na
Guerteltier	 Frosch	9.918562889099121	na
Schluessel	 Pistole	10.482436180114746	na
Zange	 Giraffe	34.10157012939453	na
Ohr	 Ananas	11.812056541442871	na
Eidechse	 Aubergine	58.460105895996094	na
Stuhl	 Birne	34.12928009033203	na
Hand	 Strauß	12.14712142944336	na
Schlange	 Löwe	13.758248329162598	na
Schimpanse	 Frosch	9.146183013916016	na
Rettich	 Ziege	35.79291534423828	na
Arbeiter	 Kaßette	55.21677017211914	na
Kuh	 Kassette	36.823463439941406	na
Ananas	 Banane	14.149162292480469	na
Schnuller	 Schlange	10.400656700134277	na
Chili	 Kamel	30.794647216796875	na
Flagge	 Wolf	12.853365898132324	na
Strauss	 Zucchini	9.463113784790039	na
Pavian	 Kartoffel	11.5604829788208	na
Hund	 Chili	7.676430702209473	na
Haar	 Rettich	33.97245788574219	na
Zange	 Strauss	11.634944915771484	na
Schaf	 Guerteltier	51.12852478027344	na
Schaf	 Tänzerin	28.33385467529297	na
Schlüßel	 Taenzerin	47.42818832397461	na
Schlueßel	 Regenschirm	21.679115295410156	na
Kassette	 Zebra	41.41879653930664	na
Schluessel	 Kopfsalat	20.296215057373047	na
Zucchini	 Gürteltier	76.112060546875	na
Ziege	 Pistole	8.407289505004883	na
Guerteltier	 Pistole	10.399299621582031	na
Schimpanse	 Aubergine	57.581398010253906	na
Zange	 Regenschirm	22.483089447021484	na
Taenzerin	 Kaßette	55.134334564208984	na
Zange	 Schlueßel	63.9873046875	na
Rettich	 Eidechse	45.62606430053711	na
Ananas	 Faust	9.538702964782715	na
Strauss	 Kopfsalat	21.15706443786621	na
Kopfsalat	 Taenzerin	49.683475494384766	na
Hammer	 Auge	10.234813690185547	na
Kaßette	 Banane	13.435382843017578	na
Ohr	 Eidechse	45.36032485961914	na
Regenschirm	 Hund	12.470918655395508	na
Arbeiter	 Affe	28.852767944335938	na
Schluessel	 Auge	9.330646514892578	na
Tänzerin	 Kopfsalat	23.014196395874023	na
Ziege	 Kuh	12.10040283203125	na
Tänzerin	 Zebra	34.21023941040039	na
Tänzerin	 Schlueßel	64.33870697021484	na
Frosch	 Auge	11.43276309967041	na
Eidechse	 Ziege	38.637535095214844	na
Pavian	 Auge	10.466715812683105	na
Schlueßel	 Auge	11.656721115112305	na
Kartoffel	 Faust	11.478575706481934	na
Schlüßel	 Affe	21.249897003173828	na
Pistole	 Schlüßel	51.877403259277344	na
Schlüssel	 Taenzerin	44.42252731323242	na
Kopfsalat	 Aubergine	70.48533630371094	na
Pfeffer	 Hammer	8.582372665405273	na
Zeigen	 Hund	12.94497299194336	na
Pistole	 Kaßette	48.78171157836914	na
Tänzerin	 Kassette	33.925540924072266	na
Banane	 Rettich	34.24036407470703	na
Guerteltier	 Traube	33.949954986572266	na
Rettich	 Elefant	38.799686431884766	na
Elefant	 Kaßette	54.98481750488281	na
Finger	 Kamel	32.525390625	na
Flagge	 Taenzerin	45.49652099609375	na
Kartoffel	 Ohr	17.09364891052246	na
Schnuller	 Hammer	9.292970657348633	na
Strauss	 Tänzerin	28.401966094970703	na
Eidechse	 Schimpanse	71.5706558227539	na
Traube	 Stuhl	8.512843132019043	na
Gürteltier	 Wolf	11.85805892944336	na
Kamel	 Ohr	14.279826164245605	na
Tänzerin	 Traube	32.174007415771484	na
Wolf	 Gürteltier	74.55751037597656	na
Schlüßel	 Pistole	10.865312576293945	na
Rettich	 Koch	13.239130020141602	na
Flagge	 Eidechse	43.13702392578125	na
Taenzerin	 Guerteltier	54.5517692565918	na
Auge	 Zebra	35.07889175415039	na
