word_one	word_two	surprisal_w_two	entropy_w_one
Bogen	 Schraubenzieher	24.742679595947266	na
Schlüssel	 Lastwagen	12.544330596923828	na
Fahrrad	 Löffel	14.920430183410645	na
Saege	 Arm	13.431036949157715	na
Mais	 Iglu	32.07792282104492	na
Tisch	 Kleiderschrank	9.22710132598877	na
Glas	 Kommode	35.37626266479492	na
Telefon	 Schmetterling	10.50629711151123	na
Schreibtisch	 Glas	11.802420616149902	na
Telefon	 Auto	13.088887214660645	na
Sellerie	 Iglu	33.11275100708008	na
Schlüssel	 Hemd	11.42731761932373	na
Auto	 Schreibtisch	8.254327774047852	na
Bogen	 Karotte	37.061954498291016	na
Kleid	 Meissel	25.288110733032227	na
Tisch	 Säge	12.995950698852539	na
Pferd	 Kaefer	40.662593841552734	na
Arm	 Meißel	53.08654022216797	na
Kühlschrank	 Meßer	32.52986526489258	na
Kleiderschrank	 Lastwagen	12.34738826751709	na
Kommode	 Hose	10.550742149353027	na
Hemd	 Auge	9.615839004516602	na
Armbanduhr	 Biene	10.538079261779785	na
Bär	 Auto	12.2223539352417	na
Säge	 Hammer	12.151351928710938	na
Meßer	 Karotte	41.952091217041016	na
Karotte	 Hemd	13.227624893188477	na
Zug	 Flasche	12.511737823486328	na
Schlüssel	 Schraubenzieher	26.511985778808594	na
Haus	 Fliege	36.949642181396484	na
Schluessel	 Meissel	28.728349685668945	na
Tisch	 Glocke	16.284406661987305	na
Kommode	 Mantel	10.622660636901855	na
Stuhl	 Karotte	37.68390655517578	na
Schraubenzieher	 Fahrrad	9.480646133422852	na
Hemd	 Kühlschrank	7.32661771774292	na
Schlüßel	 Mais	12.748952865600586	na
Hose	 Baer	27.808853149414062	na
Iglu	 Löffel	9.963427543640137	na
Kommode	 Schlüßel	52.815433502197266	na
Meßer	 Schornstein	11.343759536743164	na
Schluessel	 Zug	10.672852516174316	na
Kopfsalat	 Käfer	7.541104316711426	na
Messer	 Hand	15.439413070678711	na
Telefon	 Tuer	29.5471248626709	na
Katze	 Bein	11.352177619934082	na
Kuehlschrank	 Karotte	40.275970458984375	na
Tür	 Sellerie	53.70798873901367	na
Schreibtisch	 Katze	6.712983131408691	na
Käfer	 Wohnung	13.139254570007324	na
Meissel	 Pferd	13.49204158782959	na
Schlüssel	 Fuss	13.98476791381836	na
Käfer	 Telefon	13.01168155670166	na
Katze	 Loeffel	46.82476806640625	na
Iglu	 Arm	14.105233192443848	na
Haus	 Schluessel	37.713253021240234	na
Bogen	 Tuer	31.583736419677734	na
Bett	 Tomate	26.808273315429688	na
Mantel	 Kommode	36.398681640625	na
Hemd	 Fahrrad	7.635217189788818	na
Fahrrad	 Kleid	8.89928913116455	na
Flasche	 Fahrrad	12.582743644714355	na
Bein	 Bogen	13.53063678741455	na
Tasse	 Kleiderschrank	9.6780424118042	na
Säge	 Tür	13.857583045959473	na
Loeffel	 Tisch	12.668731689453125	na
Schluessel	 Kopfsalat	20.296215057373047	na
Kirche	 Baer	31.718017578125	na
Messer	 Biene	8.953493118286133	na
Tuer	 Meßer	34.55793762207031	na
Mais	 Glas	12.515288352966309	na
Tomate	 Auto	11.262788772583008	na
Rock	 Iglu	32.49006271362305	na
Bein	 Schluessel	40.513343811035156	na
Scheune	 Haus	11.97008991241455	na
Schlüßel	 Auto	11.599952697753906	na
Kirche	 Iglu	35.94414138793945	na
Karotte	 Bett	18.12607765197754	na
Messer	 Kuh	15.240227699279785	na
Schreibtisch	 Fuss	15.52480697631836	na
Flugzeug	 Säge	11.972325325012207	na
Meßer	 Kaefer	50.50630187988281	na
Säge	 Kopfsalat	28.69925880432129	na
Taße	 Karotte	42.48330307006836	na
Fliege	 Scheune	9.277652740478516	na
Zange	 Scheune	10.798694610595703	na
Hund	 Sellerie	53.136539459228516	na
Säge	 Flasche	11.348146438598633	na
Baer	 Bein	14.76805305480957	na
Bär	 Bett	16.06658935546875	na
Katze	 Meissel	28.341459274291992	na
Fuß	 Glocke	13.837677955627441	na
Säge	 Bein	10.871637344360352	na
Saege	 Zange	32.5325927734375	na
Taße	 Schluessel	40.67329025268555	na
Meissel	 Tuer	30.629207611083984	na
Saege	 Messer	11.07695198059082	na
Pferd	 Tuer	31.01286506652832	na
Bett	 Loeffel	46.36723709106445	na
Tomate	 Scheune	12.46098804473877	na
Kleid	 Baer	28.63014030456543	na
Meißel	 Taße	29.736148834228516	na
Stuhl	 Zug	10.837913513183594	na
Biene	 Flasche	12.57950210571289	na
Tasse	 Bär	15.824588775634766	na
Hammer	 Meßer	34.814693450927734	na
Schmetterling	 Messer	11.983589172363281	na
Bogen	 Baer	25.87076759338379	na
Iglu	 Kommode	36.917659759521484	na
Taße	 Schlueßel	62.75110626220703	na
Schlüßel	 Schmetterling	11.182934761047363	na
Fliege	 Säge	10.723841667175293	na
Bär	 Tomate	27.137592315673828	na
Karotte	 Flugzeug	13.726227760314941	na
Schornstein	 Tuer	32.20874786376953	na
Lastwagen	 Schlüßel	54.22881317138672	na
Säge	 Zug	16.21809959411621	na
Hemd	 Karotte	39.75018310546875	na
Kuh	 Meissel	24.225053787231445	na
Kommode	 Fuss	14.456937789916992	na
Meißel	 Säge	10.80612564086914	na
Bein	 Glas	14.119551658630371	na
Bein	 Kaefer	38.67793273925781	na
Auge	 Fliege	33.48516845703125	na
Mantel	 Käfer	11.821610450744629	na
Kleid	 Armbanduhr	18.270315170288086	na
Kuh	 Bogen	11.757704734802246	na
Säge	 Kirche	12.57518196105957	na
Hammer	 Taße	29.17911148071289	na
Fuß	 Schluessel	39.214637756347656	na
Schlueßel	 Hose	10.346766471862793	na
Fliege	 Kleid	7.335899353027344	na
Schlüßel	 Kühlschrank	9.424226760864258	na
Schluessel	 Mais	11.944567680358887	na
Hose	 Taße	31.820051193237305	na
Schlueßel	 Fuß	14.321500778198242	na
Kirche	 Kuehlschrank	37.60491180419922	na
Bär	 Tasse	7.863964080810547	na
Lastwagen	 Tasse	8.652288436889648	na
Schlüssel	 Taße	29.366331100463867	na
Schlüssel	 Kleiderschrank	9.83597183227539	na
Pferd	 Haus	13.35013484954834	na
Fuss	 Schreibtisch	7.9100847244262695	na
Schluessel	 Bogen	13.790132522583008	na
Tasse	 Bett	15.221132278442383	na
Bär	 Flugzeug	13.638496398925781	na
Kleid	 Mantel	6.290288925170898	na
Hemd	 Zange	30.75334358215332	na
Meissel	 Glas	10.958000183105469	na
Flasche	 Mantel	12.715442657470703	na
Hammer	 Bogen	12.572230339050293	na
Käfer	 Glocke	15.574957847595215	na
Mantel	 Bett	13.016637802124023	na
Rock	 Glocke	13.304274559020996	na
Zange	 Fliege	34.29384994506836	na
Bett	 Meßer	31.119951248168945	na
Zug	 Biene	10.595873832702637	na
Mantel	 Meissel	27.427932739257812	na
Messer	 Tür	14.189218521118164	na
Schreibtisch	 Saege	25.900564193725586	na
Mantel	 Tisch	9.452526092529297	na
Loeffel	 Wohnung	12.372457504272461	na
Kopfsalat	 Rock	12.809250831604004	na
