word_one	word_two	surprisal_w_two
xylophon	 n	7.854511260986328
trommel	 Y	11.667850494384766
Kontrabaß	 o	14.698710441589355
Troete	 F	12.317940711975098
Auto	 ü	12.83453369140625
bohrer	 t	10.000297546386719
mikrofon	 f	12.281858444213867
Klavier	 V	10.678693771362305
gewehr	 p	14.341425895690918
Geige	 q	7.490324020385742
saeugling	 D	10.52012825012207
Troete	 a	9.901457786560059
baby	 s	9.545655250549316
raßel	 Ae	12.140779495239258
Gitarre	 Ö	11.353581428527832
säge	 ae	8.320058822631836
haecksler	 h	11.46314811706543
foen	 ö	8.661319732666016
Haecksler	 V	9.45879077911377
pferd	 X	9.066092491149902
Xylophon	 x	7.2291259765625
rakete	 h	11.413225173950195
Geschütz	 Z	10.023516654968262
akkordeon	 W	10.724868774414062
böller	 i	10.532297134399414
säugling	 k	12.198204040527344
klavier	 ae	11.493882179260254
haecksler	 ü	11.687080383300781
trompete	 m	12.311342239379883
telefon	 I	10.907378196716309
Revolver	 W	15.497950553894043
dynamit	 q	8.806862831115723
knarre	 F	10.816242218017578
Kontrabaß	 S	12.785696983337402
Geige	 oe	9.514359474182129
Knarre	 B	10.27682876586914
Pistole	 ä	11.540663719177246
Revolver	 C	12.565553665161133
dynamit	 e	8.262907028198242
revolver	 s	9.85769271850586
harfe	 e	9.19305419921875
Mixer	 p	11.154777526855469
Klavier	 s	10.522724151611328
knarre	 n	7.116901874542236
kontrabaß	 Ö	12.514120101928711
Xylophon	 B	9.03835678100586
mixer	 Ü	12.613629341125488
Säugling	 C	9.877734184265137
Bohrer	 Ae	13.176136016845703
Mikrofon	 l	12.798539161682129
Telefon	 F	14.798327445983887
Akkordeon	 f	11.147120475769043
gitarre	 T	11.374061584472656
Baby	 h	16.38922882080078
handy	 X	8.981865882873535
bohrer	 b	9.061713218688965
handy	 x	8.199638366699219
Flöte	 Q	12.869464874267578
baby	 Y	12.5051908493042
Flinte	 R	11.653582572937012
Mixer	 z	9.971344947814941
Bongo	 ae	7.755638122558594
Geschütz	 p	12.178303718566895
Trompete	 a	9.977385520935059
granate	 g	10.148648262023926
geschuetz	 O	9.906126976013184
Flöte	 P	11.639216423034668
flöte	 Ue	20.916252613067627
Schlagzeug	 C	11.898012161254883
revolver	 Q	12.795766830444336
auto	 n	9.96365737915039
revolver	 ue	14.274107933044434
saxophon	 q	9.875271797180176
säugling	 J	10.60607624053955
saeugling	 Q	10.351313591003418
granate	 H	12.173104286193848
Dusche	 J	12.828514099121094
Flöte	 e	9.841630935668945
Boeller	 A	10.327934265136719
Saxophon	 z	9.876500129699707
mofa	 U	14.086433410644531
Gewehr	 l	9.942591667175293
dusche	 O	10.395769119262695
Tröte	 Oe	20.95204257965088
posaune	 ö	13.94349193572998
häcksler	 ue	15.762962341308594
floete	 q	9.682374000549316
auto	 V	14.382347106933594
revolver	 j	11.3820161819458
posaune	 o	13.917665481567383
bohrer	 oe	12.555062294006348
Triangel	 p	12.444735527038574
Baby	 U	12.7334623336792
säugling	 Y	8.589275360107422
gewehr	 ü	10.60987377166748
baby	 y	17.041536331176758
Rakete	 ue	16.31850814819336
geschütz	 L	11.157793045043945
böller	 Q	12.105193138122559
geschuetz	 x	7.207655429840088
Saxophon	 V	11.307598114013672
Fagott	 S	12.079328536987305
Rassel	 y	7.814350128173828
Kontrabaß	 U	13.33283805847168
Rakete	 F	15.006391525268555
Fagott	 n	10.65340518951416
harfe	 Q	15.177055358886719
Auto	 Z	12.969640731811523
säge	 l	9.93920612335205
schlagzeug	 J	11.694150924682617
Akkordeon	 ä	9.401103019714355
bongo	 Ue	21.80271053314209
säge	 Ö	10.347336769104004
kontrabaß	 J	11.698755264282227
Xylophon	 Q	13.744132995605469
posaune	 Y	10.739492416381836
Floete	 Q	13.788922309875488
gitarre	 H	11.923930168151855
gong	 e	7.936697006225586
Keyboard	 U	12.078492164611816
gitarre	 O	11.161684036254883
ukulele	 O	11.015776634216309
kanone	 I	10.583656311035156
Geschütz	 z	11.491082191467285
Saeugling	 Q	11.96041488647461
