condition	dummy_condition	subject	action_word	sound_word	task	word	accuracy	rt	log_rt	fasttext_cos_similarity	ppmi_cos_similarity
pIPL	0.5	1	1	-1	Geraeusch	Serviette	1.0	1333.0	3.1248301494138593	0.2566445581614971	0.28819056855981007
pIPL	0.5	1	-1	-1	Geraeusch	Piranha	1.0	890.0	2.949390006644913	0.16837493143975735	0.082073429996955
pIPL	0.5	1	-1	1	Geraeusch	Lawine	1.0	1369.0	3.13640344813399	0.2119666151702404	0.08741046816283715
pIPL	0.5	1	-1	-1	Geraeusch	Skorpion	1.0	746.0	2.8727388274726686	0.24490530043840408	0.12285723599051956
pIPL	0.5	1	1	1	Geraeusch	Flinte	1.0	808.0	2.907411360774586	0.17896616831421852	0.09308572106627644
pIPL	0.5	1	-1	1	Geraeusch	Wellensittich	1.0	1216.0	3.084933574936716	0.2442326359450817	0.11072918889162231
pIPL	0.5	1	1	1	Geraeusch	Flöte	1.0	855.0	2.931966114728173	0.17946758959442377	0.08975290126207225
pIPL	0.5	1	1	-1	Geraeusch	Ananas	1.0	853.0	2.930949031167523	0.3979216292500496	0.5464487547854717
pIPL	0.5	1	1	1	Geraeusch	Harfe	1.0	807.0	2.90687353472207	0.20626810565590858	0.07739638784377378
pIPL	0.5	1	-1	-1	Geraeusch	Auster	1.0	875.0	2.942008053022313	0.24905939027667046	0.16198040859606
pIPL	0.5	1	-1	1	Geraeusch	Tornado	1.0	842.0	2.9253120914996495	0.1815467569977045	0.08612248020598201
pIPL	0.5	1	1	-1	Geraeusch	Lanze	1.0	1360.0	3.1335389083702174	0.2850107252597809	0.08477890018872991
pIPL	0.5	1	-1	1	Geraeusch	Geröll	0.0	1356.0	3.1322596895310446	0.22315509244799614	0.13133614452309206
pIPL	0.5	1	1	-1	Geraeusch	Zigarette	1.0	1053.0	3.0224283711854865	0.30690106749534607	0.12297488662725464
pIPL	0.5	1	-1	1	Geraeusch	Schaf	1.0	1878.0	3.273695587930092	0.2607736177742481	0.13314406731093364
pIPL	0.5	1	1	-1	Geraeusch	Seil	1.0	870.0	2.9395192526186187	0.2430725209414959	0.14544442628699605
pIPL	0.5	1	-1	1	Geraeusch	Drossel	1.0	1248.0	3.0962145853464054	0.17231416050344706	0.10760396935789651
pIPL	0.5	1	1	-1	Geraeusch	Waffel	1.0	785.0	2.8948696567452528	0.3134479373693466	0.25872105014357194
pIPL	0.5	1	-1	-1	Geraeusch	Tanne	1.0	884.0	2.946452265013073	0.2853815630078316	0.18834459788546853
pIPL	0.5	1	1	-1	Geraeusch	Frisbee	1.0	1147.0	3.0595634179012676	0.17118768766522408	0.10026551444787057
pIPL	0.5	1	1	-1	Geraeusch	Zwetschge	1.0	863.0	2.9360107957152097	0.322441179305315	0.19857566617500333
