condition	dummy_condition	timing	dummy_timing	subject	noun	adj	rt	log_rt	accuracy	original_similarity	fasttext_cos_similarity	ppmi_cos_similarity
cedx	0.5	noun	-0.5	1	albicocca	secca	346.40918	2.539589392498072	1	0.7187520000000001	0.3162410035729408	0.5690767612368812
cz	-0.5	noun	-0.5	1	albicocca	viola	482.38247	2.6833915169583813	1	0.527671	0.27259038016200066	0.25158054207035807
cz	-0.5	noun	-0.5	1	alghe	fossili	878.54665	2.9437648270717034	1	0.7088220000000001	0.298440620303154	0.3676731103539146
cz	-0.5	noun	-0.5	1	alghe	marine	369.72052	2.567873555186192	1	0.608399	0.43535394966602325	0.3707736081900823
cz	-0.5	noun	-0.5	1	animale	adolescente	513.63469	2.7106543475506935	1	0.864467	0.2568953037261963	0.21905588976032409
cedx	0.5	noun	-0.5	1	animale	adulto	782.58626	2.893532218649552	0	0.618753	0.35911018401384354	0.3782989163009496
cz	-0.5	noun	-0.5	1	arancia	salata	641.64817	2.807296959982963	1	0.876378	0.2513730265200138	0.5511826410125044
cz	-0.5	noun	-0.5	1	arma	bianca	557.74512	2.746435779105865	1	0.936895	0.217402171343565	0.1389418355429879
cz	-0.5	noun	-0.5	1	arma	nera	439.74947	2.643205324704339	0	0.99281	0.21304909139871597	0.23426072516172414
cz	-0.5	noun	-0.5	1	arma	perdente	947.96043	2.976790209288156	0	0.8775310000000001	0.16335944272577763	0.3057813473924631
cz	-0.5	noun	-0.5	1	arma	vincente	541.42091	2.7335350244715317	1	0.819511	0.2295991200953722	0.22965833666970703
cz	-0.5	noun	-0.5	1	automobile	agonistica	1149.72685	3.060594673720331	1	0.826823	0.18082776479423046	0.15957695604971267
cz	-0.5	noun	-0.5	1	automobile	sportiva	878.79731	2.9438887188743896	1	0.758631	0.31015152484178543	0.24527352279200842
cz	-0.5	noun	-0.5	1	avvocato	attaccante	754.23895	2.8775089562495073	1	0.7590790000000001	0.26176048442721367	0.20517030239631395
cedx	0.5	noun	-0.5	1	avvocato	difensore	698.75403	2.8443243256554314	1	0.44316500000000003	0.4704829081892967	0.5640986035305157
cedx	0.5	noun	-0.5	1	bacio	distaccato	569.61702	2.755582957422427	1	0.983259	0.015279696875950322	0.20812165541724936
