condition	dummy_condition	timing	dummy_timing	subject	noun	adj	rt	log_rt	accuracy	original_similarity	fasttext_cos_similarity	ppmi_cos_similarity
cedx	0.5	noun	-0.5	1	bacio	passionale	488.99141	2.689301230039026	1	0.7215739999999999	0.27903487905859947	0.4488381240438246
cz	-0.5	noun	-0.5	1	banana	rosa	516.47961	2.7130531807650655	1	0.814661	0.2685186266899109	0.1976145457234456
cedx	0.5	noun	-0.5	1	bandiera	bianca	622.85032	2.794383691910737	1	0.684732	0.34679391607642174	0.2994256726005339
cz	-0.5	noun	-0.5	1	barba	lunga	551.38516	2.741455073309762	1	0.811596	0.32244958728551865	0.17894658446826317
cz	-0.5	noun	-0.5	1	bistecca	bassa	396.81901	2.5985924692793776	1	0.940405	0.17622598446905613	0.12579820621847682
cedx	0.5	noun	-0.5	1	bottiglia	ocra	547.2213	2.7381629934862373	1	0.853205	0.18193227238953114	0.17446407079653292
cedx	0.5	noun	-0.5	1	bottiglia	verde	525.89554	2.7208994876767343	1	0.898686	0.22451960295438766	0.16464485738667733
cedx	0.5	noun	-0.5	1	braccio	armato	502.82452	2.7014164476953995	1	0.752888	0.31517235189676285	0.3926403379259267
cedx	0.5	noun	-0.5	1	braccio	calmo	625.88527	2.7964947306985346	1	0.822166	0.2126411646604538	0.28800195012107555
cz	-0.5	noun	-0.5	1	braccio	inerme	946.04335	2.975911037283867	0	0.726704	0.2384091205894947	0.4023855187917327
cedx	0.5	noun	-0.5	1	brezza	diurna	665.4234	2.8230980690188114	1	0.68754	0.2646711394190788	0.24727994830815958
cz	-0.5	noun	-0.5	1	brezza	notturna	511.42792	2.7087844334497015	1	0.814256	0.21930839866399765	0.3751581155136803
cz	-0.5	noun	-0.5	1	cane	fedele	424.31587	2.62768927528426	1	0.878063	0.2750668078660965	0.213522750960907
cz	-0.5	noun	-0.5	1	cane	infido	608.94122	2.7845753729913576	1	0.793918	0.226072046905756	0.24787474751334027
cedx	0.5	noun	-0.5	1	carota	grassa	632.46872	2.801039051480554	1	0.821836	0.27130618318915367	0.31121793647628904
cz	-0.5	noun	-0.5	1	casco	beige	756.04525	2.8785477892012126	0	0.7846	0.15871575754135847	0.22118333002449186
cz	-0.5	noun	-0.5	1	cavallo	pazzo	478.95445	2.680294212674918	1	0.719265	0.3995155096054077	0.37472091554293097
cedx	0.5	noun	-0.5	1	cavallo	razionale	603.56875	2.7807267459248024	1	0.903464	0.10613321885466576	0.13797198586870918
cedx	0.5	noun	-0.5	1	caverna	buia	554.67573	2.744039163611538	1	0.5475829999999999	0.3612513989210129	0.454527966701444
cz	-0.5	noun	-0.5	1	cenere	gialla	667.47492	2.8244349519688434	1	0.822435	0.20430271700024605	0.2017596762549141
cz	-0.5	noun	-0.5	1	cuore	affollato	427.78398	2.631224516729498	1	0.94702	0.20840153470635414	0.23276731213036184
cedx	0.5	noun	-0.5	1	cuore	aperto	597.15627	2.7760879966533536	1	0.867681	0.282264307141304	0.19281328460894742
cedx	0.5	noun	-0.5	1	cuore	logico	981.25851	2.9917834362042797	1	0.949962	0.14183794520795345	0.12292968740297217
cedx	0.5	noun	-0.5	1	cuore	matto	555.50929	2.7446913262147814	1	0.952782	0.30408861115574837	0.28624269838854155
cz	-0.5	noun	-0.5	1	cuore	solitario	692.1043	2.840171547493134	1	0.851199	0.3012188971042633	0.3417039188547859
cedx	0.5	noun	-0.5	1	denaro	difficile	882.56336	2.9457458935619774	1	0.953732	0.14086881466209888	0.20681659682695008
cz	-0.5	noun	-0.5	1	denaro	facile	628.82405	2.79852914337256	1	0.863129	0.19752413779497147	0.21270327951709544
cedx	0.5	noun	-0.5	1	denaro	sporco	380.44759	2.580294837344399	1	0.642911	0.34373852610588074	0.22006035056974338
cedx	0.5	noun	-0.5	1	elefante	africano	647.29421	2.8111017223025025	1	0.617944	0.3814227879047394	0.2909769394802192
cz	-0.5	noun	-0.5	1	elefante	europeo	452.48125	2.655600587540671	1	0.878978	0.19611775875091553	0.09412376593253446
cedx	0.5	noun	-0.5	1	erba	rossa	438.23286	2.641704939134372	1	0.841343	0.3038061186671257	0.2310238120523711
cz	-0.5	noun	-0.5	1	erba	secca	723.32776	2.859335132846972	1	0.809669	0.260718934237957	0.4255355136634783
cz	-0.5	noun	-0.5	1	famiglia	semplice	865.7381	2.9373865306692566	1	1.05081	0.19875510595738888	0.06711052002181772
cz	-0.5	noun	-0.5	1	ferita	aperta	956.54608	2.980705896274124	1	0.798561	0.3014269657433033	0.09350044125435764
cz	-0.5	noun	-0.5	1	ferita	otturata	939.47234	2.9728839981010413	1	0.6919390000000001	0.2601533830165863	nan
cedx	0.5	noun	-0.5	1	ferro	caldo	541.03294	2.7332237072964687	1	0.750679	0.3137762248516083	0.21387825280103612
cedx	0.5	noun	-0.5	1	fiamma	pigra	645.46542	2.80987298044371	1	0.954586	0.153572091832757	0.0972954642132624
cedx	0.5	noun	-0.5	1	fiamma	viva	445.32483	2.648676910786626	1	0.783726	0.2946101501584053	0.15318389485285966
cedx	0.5	noun	-0.5	1	folla	rinsavita	722.49204	2.8588330666491815	1	0.839333	0.1687691118568182	nan
cedx	0.5	noun	-0.5	1	formaggio	fiacco	716.92722	2.855475069814656	1	0.923882	0.1605277005583048	0.0771850518038486
cedx	0.5	noun	-0.5	1	formaggio	fresco	399.67363	2.601705494961917	1	0.593484	0.3501848876476288	0.6851910988973652
cz	-0.5	noun	-0.5	1	fragola	fresca	652.50514	2.814583937105866	1	0.717123	0.3194972313940525	0.5591392148376614
cz	-0.5	noun	-0.5	1	fragola	rancida	911.48254	2.9597483538968867	1	0.663941	0.24179070070385933	0.11592745986740449
cedx	0.5	noun	-0.5	1	fumo	nero	625.40931	2.796164341971724	1	0.812208	0.32503848895430565	0.13082850564040593
cedx	0.5	noun	-0.5	1	fumo	pulito	1009.68768	3.0041870571207028	1	0.841869	0.14533876813948154	0.1896509209092786
cedx	0.5	noun	-0.5	1	gallina	giovane	809.05234	2.9079766183216664	1	0.826796	0.25562041252851486	0.20610276630521207
cedx	0.5	noun	-0.5	1	gallina	vecchia	844.37296	2.9265343171145135	1	0.763306	0.3605252429842949	0.23222978274302708
cedx	0.5	noun	-0.5	1	ghiaccio	snello	523.36344	2.7188033813515804	1	0.960087	0.15401805192232132	0.11262567934325318
cedx	0.5	noun	-0.5	1	gufo	muto	766.07167	2.8842694020470665	1	0.815701	0.21084700152277946	0.27745876036622286
cedx	0.5	noun	-0.5	1	gufo	parlante	1521.79062	3.182354902872172	0	0.723986	0.3262294605374336	0.24708163792581495
cz	-0.5	noun	-0.5	1	inverno	lento	883.78209	2.9463451962611424	0	0.871128	0.2219063676893711	0.1512704516624409
cz	-0.5	noun	-0.5	1	inverno	lungo	1835.63574	3.26378650485923	1	0.86466	0.2586267814040184	nan
cz	-0.5	noun	-0.5	1	investigatore	pubblico	1043.01392	3.018290104532808	1	0.7356400000000001	0.27939198911190033	0.2659528840015024
cz	-0.5	noun	-0.5	1	lago	maggiore	579.80309	2.7632805255522195	1	0.922953	0.2991532161831856	0.05041958335152308
cedx	0.5	noun	-0.5	1	latte	diviso	582.73098	2.7654681073048413	1	0.939622	0.09467680845409632	0.07064811590287634
cz	-0.5	noun	-0.5	1	latte	materno	607.57303	2.7835984874057917	1	0.6029800000000001	0.42501869797706604	0.37382898112971685
cedx	0.5	noun	-0.5	1	latte	paterno	564.57581	2.751722266285968	1	0.969623	0.20753974840044975	0.08513625110545309
cedx	0.5	noun	-0.5	1	letto	caldo	519.17995	2.7153179122736346	1	0.821632	0.19562644883990288	0.14158259962618047
cedx	0.5	noun	-0.5	1	letto	temperato	723.40221	2.859379831201021	1	0.9636709999999999	0.09505188185721636	0.1715323009114902
cz	-0.5	noun	-0.5	1	limone	blu	430.71724	2.634192255294114	1	0.737665	0.2863672748208046	0.061975429089768164
cedx	0.5	noun	-0.5	1	limone	giallo	456.67243	2.659604793388722	1	0.723707	0.347186379134655	0.21184497231416222
cz	-0.5	noun	-0.5	1	limone	rosso	735.36993	2.8665058671672337	1	0.698731	0.32045847550034523	0.26052838909200937
cz	-0.5	noun	-0.5	1	mela	gialla	526.82275	2.721664521009051	0	0.7481519999999999	0.3081381544470787	0.32501525244363405
cedx	0.5	noun	-0.5	1	mela	nera	598.83826	2.77730953979403	1	0.885539	0.269665140658617	0.15359974909366714
cedx	0.5	noun	-0.5	1	mela	rossa	569.72897	2.7556683033451446	1	0.804145	0.3494937941431999	0.2497925885439951
cedx	0.5	noun	-0.5	1	melanzana	gialla	765.66044	2.8840362086277755	1	0.647314	0.3486209660768509	0.26487736197637646
cz	-0.5	noun	-0.5	1	melanzana	viola	554.54932	2.7439401770881178	1	0.788748	0.3707217052578926	0.21992735335061964
cedx	0.5	noun	-0.5	1	notte	opaca	845.27203	2.92699649843545	1	0.932573	0.20476436242461205	0.06664396393034588
cedx	0.5	noun	-0.5	1	notte	superficiale	516.27532	2.712881364551387	1	1.01228	0.12752355076372623	0.06660391439035507
cz	-0.5	noun	-0.5	1	oca	bianca	477.29097	2.6787832179064304	1	0.728925	0.3143697753548622	0.19699363556759852
cz	-0.5	noun	-0.5	1	orso	affamato	814.82786	2.911065869662216	1	0.7435229999999999	0.33317190781235695	0.3580395169358874
cedx	0.5	noun	-0.5	1	orso	polare	578.68814	2.7624445817495222	1	0.737036	0.38528771698474884	0.29274108258772336
cz	-0.5	noun	-0.5	1	orso	sazio	464.41622	2.6669073793126232	1	0.894186	0.21320319920778275	0.24069987547073035
cedx	0.5	noun	-0.5	1	orso	tropicale	650.84208	2.8134756243524053	1	0.813721	0.2131226882338524	0.22419646235666713
cz	-0.5	noun	-0.5	1	pecora	nera	501.3362	2.70012906486167	1	0.7309570000000001	0.38131625950336456	0.23292583939626577
cedx	0.5	noun	-0.5	1	pelle	sensibile	457.38809	2.6602848517560336	1	0.764155	0.2917226254940033	0.40765116930379564
cz	-0.5	noun	-0.5	1	peperone	cremisi	615.39071	2.7891509358077835	1	0.77868	0.20727806724607944	0.14066387698033356
cedx	0.5	noun	-0.5	1	peperone	giallo	913.85616	2.9608778436175403	1	0.592244	0.35326652228832245	0.2943692554608246
cz	-0.5	noun	-0.5	1	peperone	ocra	948.51804	2.9770455952119756	1	0.69827	0.20762163400650024	0.19317066129976257
cedx	0.5	noun	-0.5	1	peperone	rosso	433.10924	2.636597449114758	1	0.588954	0.3921602591872215	0.37075455903055266
cz	-0.5	noun	-0.5	1	pera	corta	633.02878	2.801423455216499	1	0.843301	0.1959917638450861	0.19289694662394996
cz	-0.5	noun	-0.5	1	persona	aperta	1114.04236	3.0469017046298945	1	0.983742	0.19385155104100704	0.13445630771407924
cedx	0.5	noun	-0.5	1	pianeta	blu	944.32128	2.9751197764937896	1	0.891621	0.2689633257687092	0.12605795786848062
cz	-0.5	noun	-0.5	1	pianeta	rosso	542.3139	2.734250735941881	0	0.866105	0.3122847005724907	0.1364631502055058
cedx	0.5	noun	-0.5	1	piccione	verde	502.47085	2.7011108719604757	1	0.821995	0.2455398328602314	0.13133113103114646
cedx	0.5	noun	-0.5	1	poltrona	piena	1352.2954	3.1310715707304824	1	0.972675	0.13411768525838852	0.14346737638531848
cz	-0.5	noun	-0.5	1	poltrona	vuota	713.59363	2.8534509645908845	1	0.765161	0.28215455636382103	0.24960600643698438
cz	-0.5	noun	-0.5	1	pomodoro	fresco	694.49567	2.8416695423688556	1	0.634823	0.2939916253089905	0.6864097093111344
cz	-0.5	noun	-0.5	1	pomodoro	rancido	2121.31346	3.3266048476253567	1	0.670863	0.2584523521363735	0.22601746479997675
cz	-0.5	noun	-0.5	1	principe	azzurro	408.1055	2.610772447759193	1	0.705777	0.3843027651309967	0.2562989518509684
cedx	0.5	noun	-0.5	1	quercia	stretta	531.71465	2.725678626322283	1	0.967057	0.2183153536170721	0.14881720362234174
cz	-0.5	noun	-0.5	1	romanzo	giallo	843.87932	2.926280344249562	1	0.601623	0.393206350505352	0.23470357910746908
cedx	0.5	noun	-0.5	1	sale	grosso	589.63472	2.77058304856276	1	0.83607	0.2734149321913719	0.11970501605777528
cz	-0.5	noun	-0.5	1	sale	sottile	688.92904	2.8381744916848515	1	0.811165	0.09799576736986637	0.1852163965825735
cz	-0.5	noun	-0.5	1	scatola	fatata	1574.40261	3.1971158010489393	1	0.801715	0.28965921327471733	0.14014818359736503
cz	-0.5	noun	-0.5	1	scatola	magica	436.05333	2.639539607407012	1	0.837242	0.31449414789676666	0.1805201805710045
cz	-0.5	noun	-0.5	1	scuola	materna	395.427	2.597066319885784	1	0.340997	0.4596046954393387	0.49612169432626696
cedx	0.5	noun	-0.5	1	scuola	paterna	543.65862	2.735326278395182	1	0.718461	0.2697770893573761	0.20595144163406864
cz	-0.5	noun	-0.5	1	sedia	analogica	640.82125	2.8067369047689454	1	1.00834	0.14173067919909954	0.11793135131114751
cedx	0.5	noun	-0.5	1	sedia	elettrica	544.74605	2.736194089823437	1	0.7201679999999999	0.29589689150452614	0.14275288189791047
cedx	0.5	noun	-0.5	1	segretaria	privata	1492.12798	3.1738060742252094	1	0.893648	0.28836536034941673	0.29028630729706917
cedx	0.5	noun	-0.5	1	soldato	complesso	607.12032	2.783274768725673	1	0.949142	0.1440982837229967	0.12048866132042557
cz	-0.5	noun	-0.5	1	soldato	semplice	977.59073	2.9901570747223998	1	0.911369	0.23032625392079353	0.083931854577324
cedx	0.5	noun	-0.5	1	sole	caldo	344.67223	2.537406294015442	1	0.5922879999999999	0.37691183388233185	0.33646451011055434
cz	-0.5	noun	-0.5	1	sole	freddo	616.32673	2.7898110034271935	1	0.6241479999999999	0.3522321544587612	0.3576938540793342
cedx	0.5	noun	-0.5	1	sorriso	depresso	596.1662	2.7753673498086515	1	0.843623	0.21840600669384003	0.3196274973343728
cedx	0.5	noun	-0.5	1	sorriso	diabolico	1706.21029	3.2320325568187873	1	0.8368990000000001	0.26938479766249657	0.31966077594230313
cz	-0.5	noun	-0.5	1	sorriso	divertito	655.83342	2.8167935437023206	1	0.61827	0.2512144409120083	0.5034819032916004
cz	-0.5	noun	-0.5	1	specchio	muto	834.74164	2.9215520782564477	1	0.76806	0.20689435675740242	0.329372974255424
cedx	0.5	noun	-0.5	1	stazione	centrale	381.4424	2.5814289662730894	1	0.6878960000000001	0.47584428638219833	0.4190549741534553
cedx	0.5	noun	-0.5	1	stazione	laterale	467.72907	2.669994362742056	1	0.80093	0.19759603776037693	0.1786901936369374
cz	-0.5	noun	-0.5	1	stella	rossa	792.10263	2.89878145527012	1	0.667088	0.4219701364636421	0.28321203348290314
cz	-0.5	noun	-0.5	1	stella	verde	452.45967	2.6555798744207	1	0.913502	0.21525014378130436	0.15076214055860426
cedx	0.5	noun	-0.5	1	torre	medievale	817.44356	2.9124577767124653	1	0.754339	0.30627209693193436	0.690151873167059
cedx	0.5	noun	-0.5	1	torre	moderna	1136.16828	3.05544266030362	1	0.892562	0.24112088605761528	0.2632337770453206
cedx	0.5	noun	-0.5	1	uniforme	militare	793.23196	2.8994002039851288	1	0.767898	0.33674194663763046	0.1261977831598784
cedx	0.5	noun	-0.5	1	uova	fresche	536.01184	2.72917438295746	1	0.677354	0.36153218895196915	0.5662431419974366
cz	-0.5	noun	-0.5	1	uova	stantie	830.24644	2.919207022070278	1	0.864464	0.18767932429909706	0.07462379246241002
cz	-0.5	noun	-0.5	1	uva	bianca	704.00386	2.847575040352488	1	0.848542	0.30750293657183647	0.19995204144680467
cedx	0.5	noun	-0.5	1	uva	marrone	611.8777	2.786664625539473	1	0.83509	0.2657885439693928	0.21139487299283877
cz	-0.5	noun	-0.5	1	vedova	bianca	518.68869	2.714906778311415	0	0.8084210000000001	0.3588878810405731	0.17917221297848196
cedx	0.5	noun	-0.5	1	vedova	nera	423.4872	2.626840288212468	1	0.780218	0.343965508043766	0.2302927933954254
cedx	0.5	noun	-0.5	1	zucchero	amaro	666.50419	2.823802883964671	1	0.6750849999999999	0.2773638404905796	0.543150190546855
cz	-0.5	noun	-0.5	1	zucchero	dolce	806.60936	2.906663257310535	1	0.654304	0.3296000249683857	0.5192597140243527
cz	-0.5	noun	-0.5	2	albicocca	secca	275.712905	2.4404570941403163	1	0.7187520000000001	0.3162410035729408	0.5690767612368812
cz	-0.5	noun	-0.5	2	albicocca	viola	333.115871	2.5225953247461805	1	0.527671	0.27259038016200066	0.25158054207035807
cedx	0.5	noun	-0.5	2	alghe	fossili	816.090872	2.9117385202867605	0	0.7088220000000001	0.298440620303154	0.3676731103539146
cedx	0.5	noun	-0.5	2	alghe	marine	449.986102	2.653199100624415	1	0.608399	0.43535394966602325	0.3707736081900823
cedx	0.5	noun	-0.5	2	animale	adolescente	445.197714	2.648552925654282	1	0.864467	0.2568953037261963	0.21905588976032409
cz	-0.5	noun	-0.5	2	animale	adulto	447.485155	2.65077863248205	0	0.618753	0.35911018401384354	0.3782989163009496
cz	-0.5	noun	-0.5	2	arancia	salata	552.490819	2.74232506554128	1	0.876378	0.2513730265200138	0.5511826410125044
cedx	0.5	noun	-0.5	2	arma	bianca	419.533069	2.6227661990578994	1	0.936895	0.217402171343565	0.1389418355429879
cz	-0.5	noun	-0.5	2	arma	nera	508.239455	2.706068376620808	1	0.99281	0.21304909139871597	0.23426072516172414
cedx	0.5	noun	-0.5	2	arma	perdente	449.517536	2.6527466385375105	1	0.8775310000000001	0.16335944272577763	0.3057813473924631
cz	-0.5	noun	-0.5	2	arma	vincente	505.200451	2.703463729584647	1	0.819511	0.2295991200953722	0.22965833666970703
cedx	0.5	noun	-0.5	2	automobile	agonistica	396.219422	2.5979357600987747	1	0.826823	0.18082776479423046	0.15957695604971267
cedx	0.5	noun	-0.5	2	automobile	sportiva	339.254849	2.530526063786138	1	0.758631	0.31015152484178543	0.24527352279200842
cz	-0.5	noun	-0.5	2	avvocato	attaccante	541.024558	2.7332169788992178	1	0.7590790000000001	0.26176048442721367	0.20517030239631395
cz	-0.5	noun	-0.5	2	avvocato	difensore	401.963448	2.6041865629012957	1	0.44316500000000003	0.4704829081892967	0.5640986035305157
cz	-0.5	noun	-0.5	2	bacio	distaccato	714.540745	2.8540269984511855	1	0.983259	0.015279696875950322	0.20812165541724936
cz	-0.5	noun	-0.5	2	bacio	passionale	439.606919	2.6430645191924746	1	0.7215739999999999	0.27903487905859947	0.4488381240438246
cedx	0.5	noun	-0.5	2	banana	rosa	261.851855	2.418055654859274	1	0.814661	0.2685186266899109	0.1976145457234456
cedx	0.5	noun	-0.5	2	bandiera	bianca	610.747176	2.7858614675399447	1	0.684732	0.34679391607642174	0.2994256726005339
cedx	0.5	noun	-0.5	2	barba	lunga	274.154886	2.4379959903031385	1	0.811596	0.32244958728551865	0.17894658446826317
cz	-0.5	noun	-0.5	2	bistecca	bassa	466.879729	2.669205018127514	1	0.940405	0.17622598446905613	0.12579820621847682
cz	-0.5	noun	-0.5	2	bottiglia	ocra	520.147952	2.7161268928616114	1	0.853205	0.18193227238953114	0.17446407079653292
cedx	0.5	noun	-0.5	2	bottiglia	verde	393.764291	2.595236329057498	1	0.898686	0.22451960295438766	0.16464485738667733
cz	-0.5	noun	-0.5	2	braccio	armato	426.734403	2.630157656758486	1	0.752888	0.31517235189676285	0.3926403379259267
cedx	0.5	noun	-0.5	2	braccio	calmo	584.850379	2.7670447756791723	1	0.822166	0.2126411646604538	0.28800195012107555
cedx	0.5	noun	-0.5	2	braccio	inerme	577.359413	2.761446250743731	0	0.726704	0.2384091205894947	0.4023855187917327
cedx	0.5	noun	-0.5	2	brezza	diurna	503.276115	2.701806319688128	0	0.68754	0.2646711394190788	0.24727994830815958
cedx	0.5	noun	-0.5	2	brezza	notturna	342.353777	2.5344751235607488	1	0.814256	0.21930839866399765	0.3751581155136803
cedx	0.5	noun	-0.5	2	cane	fedele	567.936498	2.7542997791794397	1	0.878063	0.2750668078660965	0.213522750960907
cedx	0.5	noun	-0.5	2	cane	infido	777.512575	2.8907074217618285	1	0.793918	0.226072046905756	0.24787474751334027
cz	-0.5	noun	-0.5	2	carota	grassa	707.404852	2.84966803425962	1	0.821836	0.27130618318915367	0.31121793647628904
cz	-0.5	noun	-0.5	2	casco	beige	857.752033	2.9333617560720002	0	0.7846	0.15871575754135847	0.22118333002449186
cedx	0.5	noun	-0.5	2	cavallo	pazzo	372.85472	2.5715396452327046	1	0.719265	0.3995155096054077	0.37472091554293097
cedx	0.5	noun	-0.5	2	cavallo	razionale	535.777243	2.7289842631179986	1	0.903464	0.10613321885466576	0.13797198586870918
cedx	0.5	noun	-0.5	2	caverna	buia	304.074261	2.4829796599377465	1	0.5475829999999999	0.3612513989210129	0.454527966701444
cedx	0.5	noun	-0.5	2	cenere	gialla	345.30066	2.538197408451059	1	0.822435	0.20430271700024605	0.2017596762549141
cz	-0.5	noun	-0.5	2	cuore	affollato	420.244053	2.6235015763231484	1	0.94702	0.20840153470635414	0.23276731213036184
cz	-0.5	noun	-0.5	2	cuore	aperto	421.175596	2.6244631991003833	1	0.867681	0.282264307141304	0.19281328460894742
cedx	0.5	noun	-0.5	2	cuore	logico	387.297617	2.588044824827719	1	0.949962	0.14183794520795345	0.12292968740297217
cedx	0.5	noun	-0.5	2	cuore	matto	430.720385	2.6341954264027487	0	0.952782	0.30408861115574837	0.28624269838854155
cz	-0.5	noun	-0.5	2	cuore	solitario	724.060809	2.8597750412028944	1	0.851199	0.3012188971042633	0.3417039188547859
cedx	0.5	noun	-0.5	2	denaro	difficile	542.049199	2.734038706989506	0	0.953732	0.14086881466209888	0.20681659682695008
cz	-0.5	noun	-0.5	2	denaro	facile	427.213445	2.630644912085636	1	0.863129	0.19752413779497147	0.21270327951709544
cz	-0.5	noun	-0.5	2	denaro	sporco	498.064768	2.6972858217878835	1	0.642911	0.34373852610588074	0.22006035056974338
cedx	0.5	noun	-0.5	2	elefante	africano	434.299122	2.6377889513724972	1	0.617944	0.3814227879047394	0.2909769394802192
cz	-0.5	noun	-0.5	2	elefante	europeo	533.236906	2.726920199851864	1	0.878978	0.19611775875091553	0.09412376593253446
cedx	0.5	noun	-0.5	2	erba	rossa	421.21813	2.6245070557458896	1	0.841343	0.3038061186671257	0.2310238120523711
cedx	0.5	noun	-0.5	2	erba	secca	533.031153	2.7267525921046567	1	0.809669	0.260718934237957	0.4255355136634783
cz	-0.5	noun	-0.5	2	famiglia	semplice	620.234066	2.792555615931489	1	1.05081	0.19875510595738888	0.06711052002181772
cedx	0.5	noun	-0.5	2	ferita	aperta	232.237617	2.365932566532453	1	0.798561	0.3014269657433033	0.09350044125435764
cz	-0.5	noun	-0.5	2	ferita	otturata	460.42402	2.663157972388992	1	0.6919390000000001	0.2601533830165863	nan
cz	-0.5	noun	-0.5	2	ferro	caldo	389.990977	2.5910545591176746	1	0.750679	0.3137762248516083	0.21387825280103612
cz	-0.5	noun	-0.5	2	fiamma	pigra	545.462552	2.736764940042567	1	0.954586	0.153572091832757	0.0972954642132624
cedx	0.5	noun	-0.5	2	fiamma	viva	256.115302	2.4084355268309174	1	0.783726	0.2946101501584053	0.15318389485285966
cz	-0.5	noun	-0.5	2	folla	rinsavita	658.671773	2.818669052400054	1	0.839333	0.1687691118568182	nan
cz	-0.5	noun	-0.5	2	formaggio	fiacco	849.015936	2.9289158420129873	1	0.923882	0.1605277005583048	0.0771850518038486
cedx	0.5	noun	-0.5	2	formaggio	fresco	264.308383	2.4221109377548875	0	0.593484	0.3501848876476288	0.6851910988973652
cz	-0.5	noun	-0.5	2	fragola	fresca	301.613543	2.4794508382525042	1	0.717123	0.3194972313940525	0.5591392148376614
cz	-0.5	noun	-0.5	2	fragola	rancida	677.33413	2.8308029597008812	0	0.663941	0.24179070070385933	0.11592745986740449
cz	-0.5	noun	-0.5	2	fumo	nero	389.198488	2.5901711444058413	1	0.812208	0.32503848895430565	0.13082850564040593
cedx	0.5	noun	-0.5	2	fumo	pulito	411.702395	2.6145833934299825	1	0.841869	0.14533876813948154	0.1896509209092786
cz	-0.5	noun	-0.5	2	gallina	giovane	547.883809	2.738688466403217	1	0.826796	0.25562041252851486	0.20610276630521207
cz	-0.5	noun	-0.5	2	gallina	vecchia	382.821979	2.582996864017027	1	0.763306	0.3605252429842949	0.23222978274302708
cz	-0.5	noun	-0.5	2	ghiaccio	snello	505.890064	2.7040561496747304	1	0.960087	0.15401805192232132	0.11262567934325318
cz	-0.5	noun	-0.5	2	gufo	muto	840.08184	2.924321596691734	1	0.815701	0.21084700152277946	0.27745876036622286
cz	-0.5	noun	-0.5	2	gufo	parlante	595.207352	2.7746682869755093	1	0.723986	0.3262294605374336	0.24708163792581495
cz	-0.5	noun	-0.5	2	inverno	lento	465.790345	2.6681904821448184	1	0.871128	0.2219063676893711	0.1512704516624409
cedx	0.5	noun	-0.5	2	inverno	lungo	325.016727	2.511905712538453	1	0.86466	0.2586267814040184	nan
cedx	0.5	noun	-0.5	2	investigatore	pubblico	511.491474	2.70883839889742	1	0.7356400000000001	0.27939198911190033	0.2659528840015024
cedx	0.5	noun	-0.5	2	lago	maggiore	478.70267	2.680065849798708	1	0.922953	0.2991532161831856	0.05041958335152308
cz	-0.5	noun	-0.5	2	latte	diviso	460.560141	2.6632863494058943	1	0.939622	0.09467680845409632	0.07064811590287634
cedx	0.5	noun	-0.5	2	latte	materno	703.726102	2.847403659801493	1	0.6029800000000001	0.42501869797706604	0.37382898112971685
cedx	0.5	noun	-0.5	2	latte	paterno	395.735561	2.5974050779439395	1	0.969623	0.20753974840044975	0.08513625110545309
cedx	0.5	noun	-0.5	2	letto	caldo	358.07442	2.553973297136876	1	0.821632	0.19562644883990288	0.14158259962618047
