condition	dummy_condition	subject	session	category	word	rt	log_rt	fasttext_cos_similarity	ppmi_cos_similarity
pIFG	1.5	019	1	Tischler	Maurer	1598.23377152937	7.3772799007279515	0.5352703556418419	0.43731589186973396
sham	1.0	020	2	Tischler	Fleischer	1891.05627997269	7.545419495455188	0.3401641249656677	0.3391046311543243
aIFG	0.5	021	3	Tischler	Zimmermann	1796.5974062813	7.494206277991407	0.4753781482577324	0.40092842125451345
sham	1.0	022	3	Tischler	Schreiner	1721.03030732818	7.451259284907233	0.5899296849966049	0.6804787792733886
aIFG	0.5	023	1	Tischler	Maler	2523.93073370504	7.833968909137167	0.39691419154405594	0.3886707345253746
pIFG	1.5	024	2	Tischler	Schreiner	1314.85715045518	7.1822435577071335	0.5899296849966049	0.6804787792733886
pIFG	1.5	103	1	Tischler	Klempner	1909.94805471097	7.555354761615972	0.41856367141008377	0.28933620684482464
pIFG	1.5	001	2	Torte	Kuchen	2736.46319951068	7.914786930933276	0.5842102244496346	0.6327943806445899
aIFG	0.5	002	1	Torte	Kuchen	1366.80953098545	7.220965856753075	0.5842102244496346	0.6327943806445899
sham	1.0	004	1	Torte	Zucker	1465.99134836141	7.29096888062144	0.30131443589925766	0.3090642117972878
pIFG	1.5	005	3	Torte	Kuchen	2098.86580209376	7.649628717904705	0.5842102244496346	0.6327943806445899
pIFG	1.5	006	2	Torte	Kuchen	1584.06494047566	7.368380657380989	0.5842102244496346	0.6327943806445899
sham	1.0	007	3	Torte	Kuchen	1239.29005150207	7.123100543747488	0.5842102244496346	0.6327943806445899
aIFG	0.5	008	1	Torte	Kuchen	1772.98268785845	7.4809824040047985	0.5842102244496346	0.6327943806445899
aIFG	0.5	009	2	Torte	Keks	2410.58008527537	7.788037448692354	0.3421153947710991	0.45943044806854405
pIFG	1.5	010	3	Torte	Kuchen	1843.826843127	7.5201407001065705	0.5842102244496346	0.6327943806445899
sham	1.0	011	1	Torte	Kuchen	1305.41126308604	7.175039163087278	0.5842102244496346	0.6327943806445899
aIFG	0.5	012	2	Torte	Kuchen	1092.8787972804	6.997485188252461	0.5842102244496346	0.6327943806445899
sham	1.0	013	3	Torte	Kuchen	1484.88312309969	7.303764570165421	0.5842102244496346	0.6327943806445899
aIFG	0.5	014	1	Torte	Kuchen	1338.47186887803	7.200030687553257	0.5842102244496346	0.6327943806445899
aIFG	0.5	015	2	Torte	Kuchen	1343.1948125626	7.203550460402247	0.5842102244496346	0.6327943806445899
pIFG	1.5	016	2	Torte	Kuchen	1149.55412149524	7.047998950085847	0.5842102244496346	0.6327943806445899
sham	1.0	017	1	Torte	Pfannkuchen	2146.09523893946	7.671871155972478	0.5166029036045074	0.48736829662485903
pIFG	1.5	018	3	Torte	Kuchen	1140.1082341261	7.039755204369467	0.5842102244496346	0.6327943806445899
aIFG	0.5	020	1	Torte	Kuchen	1551.00433468367	7.347302493705546	0.5842102244496346	0.6327943806445899
pIFG	1.5	021	2	Torte	Kuchen	1593.5108278448	7.374322277173245	0.5842102244496346	0.6327943806445899
aIFG	0.5	022	2	Torte	Backwerk	2510.0	7.8284363591575845	0.34966787695884705	0.41080241484566726
pIFG	1.5	023	3	Torte	Kuchen	1253.45888255577	7.134459589307412	0.5842102244496346	0.6327943806445899
sham	1.0	024	1	Torte	Kuchen	1494.32901046883	7.310101535504273	0.5842102244496346	0.6327943806445899
