condition	dummy_condition	subject	session	category	word	rt	log_rt	fasttext_cos_similarity	ppmi_cos_similarity
aIFG	0.5	002	1	Sofa	Stuhl	1371.53247467002	7.224412834065532	0.5218278095126152	0.39724873436477215
sham	1.0	003	3	Sofa	Sessel	2146.09523893946	7.671871155972478	0.39130627550184727	0.7114478321163114
pIFG	1.5	005	3	Sofa	Bett	1883.33333333333	7.54132936800718	0.6073109805583954	0.5592553003734788
pIFG	1.5	006	2	Sofa	Sessel	1336.66666666666	7.198682081598802	0.39130627550184727	0.7114478321163114
sham	1.0	007	3	Sofa	Sessel	1168.44589623352	7.064285322648431	0.39130627550184727	0.7114478321163114
aIFG	0.5	008	1	Sofa	Sessel	1305.41126308604	7.175039163087278	0.39130627550184727	0.7114478321163114
aIFG	0.5	009	2	Sofa	Sessel	1588.78788416023	7.3713558801263455	0.39130627550184727	0.7114478321163114
pIFG	1.5	010	3	Sofa	Schrank	3029.28570795401	8.016412187112232	0.38712889701128006	0.4522333105627917
sham	1.0	011	1	Sofa	Bett	2110.0	7.65491704784832	0.6073109805583954	0.5592553003734788
aIFG	0.5	012	2	Sofa	Sessel	988.974036219872	6.897678716744194	0.39130627550184727	0.7114478321163114
sham	1.0	013	3	Sofa	Sessel	1541.55844731453	7.341197646351494	0.39130627550184727	0.7114478321163114
aIFG	0.5	014	1	Sofa	Sessel	1418.76191151572	7.258244468590789	0.39130627550184727	0.7114478321163114
aIFG	0.5	015	2	Sofa	Sessel	1725.75325101275	7.453998190702361	0.39130627550184727	0.7114478321163114
pIFG	1.5	016	2	Sofa	Kanapee	2226.38528157715	7.7085836570432775	0.4658317044377327	0.2234700341514404
sham	1.0	017	1	Sofa	Sessel	1248.7359388712	7.130687559077114	0.39130627550184727	0.7114478321163114
pIFG	1.5	018	3	Sofa	Bett	1789.99999999999	7.490529402060706	0.6073109805583954	0.5592553003734788
